id,tweet,subtask_b
60466,"# christian # america – go # trump ’ example , liberal support open border , guess conservative support school shooting . please explain make america great .",1
25685,@ user @ user @ user disingenuous person senate . senator would hide shame despicable behavior scotus hearing .,1
16333,# democrat # liberal # threatened # armed # nazi talk # disarmament # disconnection # military # lifestyle ? # broadcast # armory # killskills # rightfuckingnow url,1
78417,". wanted tell hang . think ’ fun ! also , lmao dick tongue ? people easily suck . haha kidding aside , aint want tongue dick look hella weird.. choice weird whatever",1
51525,# avalanche 'm sorry ! see ! love ! asshole ! know # maga,1
84550,# ff @ user alien future  url,1
23530,"# familiarwife jh-omg , crazy wj-wait ! ... .yes , interested assistant manager cha bh-you guy look like good pair vo-are '' ? sit jh-do n't ! wj-lets live life . let news-collision hwy , congestion jh-woo-jin~ url",1
57284,"# thingsdarthvaderwouldneversay yup , white mask privilege 's finest . always trying keep black mask # blacklivesmatter # qanon # antifa # alexjones # infowars # starwars # maytheforcebewithyou # thirdshiftzombies # podcast # radio # whitesupremacy url",1
59700,’ saying cool feel type way me.. speak fuck .,1
13433,# cuckservative traitor worse fortnite player url # conservative # triggerwarningradio,1
80197,"# barbara boxer liberal want use rape political tactic ! better hard evidence ! word n't evidence ! ! ! called hearsay . note , could say ' ' cornered bathroom , put hand ' year ago . prove wrong url",1
79309,# constitutionday 's odd alt right conservative say ruining constitution want # guncontrolnow one ruining constitution getting upset foreigner coming land white wanting live,1
47696,# liberallogic # kavanaugh look predatory . therefore 's guilty . # liberal dangerous people govern anyone anything . url,1
71294,# breaking . # greece : molotov cocktail fly protest honouring killed antifa arti ... url via @ user url,0
55633,"# orrinhatch ’ believe sexist , clueless , old fart get weigh another woman ’ charge supreme court nominee . spouting old nasty shit spewed + year ago anita hill . time ’ ! good riddance neanderthal !",1
87934,". ( part ) n't think hard come gabriel . 're lizard themed , glitter bombing , antifa mech pilot using superhero power take corrupt logging company . 're buff lesbian heart uniform . literally 's love ?",1
57732,"# repost theleadersmindset • • • hola leader !  type “ ready ” ready follow step . - “ set goal , stay quiet , smash shit , clap damn… url",0
27455,"# liberal / # democrat stand . , # walkaway url",1
83466,# beeto demonstrated lose election # texas url # maga @ user # rkba @ user # dvc,1
48657,bitch thinking nigga money tf ’ .,1
89635,*extremely* back bullshit . url,0
89603,fucking year . # mytwitteranniversary url,0
86611,"# dems disgusting . believe woman accuse conservative abuse crime . liberal accused , ignore accusation . url",1
12193,# christineblaseyford harassed member antifa radical arm democratic party funded george soros . # voteredtosaveamerica,1
63985,cent call joe budden 's bullshit '' instagram url url,1
20522,"# bb actually question people want jc win angela ? way meaner , say n word repeatly , make fun eating disorder , sexually harasses houseguests.she much underdog win dont use excuse . # bb # tangela",1
94260,surprised start top ! ! ! karma bitch watch ! ! ! ! url,0
70324,alright let get right god bc mother nature like fuck human url,1
89329,# hillary @ least # angrydemocrats # worldwarq # wwg wga # maga # redtsunami # americafirst # walkaway # truth url,1
11100,# antifa recruiting designated # terrorist organization url,1
83240,# hypocrite # democratshateamerica # liberalismisamentaldisorder everything liberal touch turn absolute shit ... url,1
81890,@ user @ user said medium money soros dip shit water creating civil war .,1
72037,# texas ted cruz campaign sending people solicitation disguised official looking county summons . elderly resident confused notice appear . skeezy . url,1
78301,tf . saw shit . url,0
94607,anyone find m*neta 's behavior funny fuck die,1
72531,# goodmorningamerica # tuesdaymotivation # thankyou # fathergod # americanpeople begin see # truth # governmentcorruption @ user @ user @ user # mediacorruption # noredaction # declassifyfisa # declassification completely # obama # hillaryclinton # lie # leaker # liberal url,1
98575,"@ user difference stated , inane asinine comment solidified bring fact truth , lie bullshit . present single shred credible evidence support single thing 've said . lie 've got .",1
58342,@ user damn felt shit . loud lol,1
39429,# msnbc # hardball @ user bingo absolutely correct bring president obama . ’ get president obama humiliated white house correspondent dinner guarantee definite driver hate president obama,1
18786,# cnnisfakenews @ user @ user wonder rating suck ... # cnnisajoke # fakenews # maga url,1
35785,$ b album definitely worth fucking wait,0
67049,# joescarborough vile excuse journalist '' . criticizing # trump yet refuse come clean death intern office . stop talking everyone else start talking involvement # loriklausutis . @ user,1
82273,’ nobody shit ask ... including .,0
98216,"dreg society '' ... labelingand dehumanizing conservatives.i suggest , , conservative keep ammo dry gun loaded..if fascist liberal left think conservative go quietly internment camp slaughtered street need reality check . url",1
37649,# feinstein cant say anything truthful . loers liar . url,1
14582,# lifeisbutepu sex anytime want single,0
59751,# nigeria # naija # ja 'you incompetent leader nigeria ’ history ' – atiku blast buhari url championnewsng via url,1
92215,"# emmy well , ex-crackheads liberal democrat ; ...",1
22311,@ user # diversity work joining new group want part team . # islam hate every non-muslim # fail # unicorn,1
75125,// want kick twitterfuck as .,1
21354,"# faileddemfeinstein quit decade ago . disgrace . feinstein blame gop kavanaugh accuser stay mum , admits ' ca n't say everything 's truthful ' url",1
22594,@ user @ user @ user fascism also liberal antifa according meme .,1
19410,@ user fuck,0
33394,". grown as woman , probably year older currently spreading rumor rather talking , nice work got satan ",1
56513,# conservative ’ care post..it ’ @ user propaganda.. url,1
59691,# idiot nothing beneath ? lol . fool liberal ! # maga # kag  url,1
41997,@ user kindest explanation tone-deaf . 's hard feel kind ilk repeatedly .,1
56637,"# amazonpets etta tricky photograph colouring , beautiful know . charge , first dibs treat , shout attention whenever come house . kill wild rabbit hang hutch . url",1
19815,# sugardaddy retweet would like share meme talk dumb shit . cuz baby ’ broke shit love rich url,0
97410,# geoffreyowens nigga ’ really understand ... level career pursuit,1
77746,"... death _metal_ ? want death metal ... tell , hateful keebler elf , death metal ? ? ? ? url",1
17704,"# kavanaugh disciple anthony kennedy , ed liberal w/ unconstitutional opinion ! 's trump 's con con conservative 🤔ing # scotus moving right ! @ user smart , 'd everything get bk  . wo n't ! idiot ! # tuesdaythoughts url",1
61674,# america ... tear # wall ! url # tcot # partisanship # trump # thewall # borderwall # liberty # civilsociety # think # conservative # democrat # progressive # liberal # independent # libertarian # gop # dnc # criticalthinking,1
39860,dickhead ? ? ? ? probably yes,1
21826,( cr tikal voice ) smef as cheek,0
79934,@ user 'cause everyone know real leader fall van like sack potato ... ..,1
55048,# boycottnike campaign must continue grow paying overseas staff $ . hour okay staff '' . exploiting poor women/men world . american stand . url,1
76833,"# news jeff session : want death , 'listen aclu , antifa , black life matter ' '' url # cnbc ''",1
55832,# david # miliband # davidmiliband flew away # newyork # u # liberal # democrat - flee # corbynists hatred jew,1
32056,anyway game suck : ),1
67841,# ibelieveblaseyford liar fat ugly libreal # snowflake sold get cash ! ! dems iran ! spoke # johnkerryiranmeeting ?,1
94427,# conservative represent canadian . authoritarian scum . # cdnpoli # onpoli url,1
96594,# ford 's attorney say 's receiving death threat move family safety '' . 's proof # democrat # antifa promote circus ? '',1
62689,# scottgimple ruined # thewalkingdead # feartwd . hope check cash forever never get another job . # amc,1
35968,another season tom brady give nigga,1
14516,# lifeisbutepu black say word nigga '' . feel nigga ? ? ? url,1
15866,# austerity low pay # tuitionfees lack housing wage falling # universalcredit unaffordable rent # nh crisis crap railway empty shop # brexit deal exit eu # windrush # grenfell short year @ user completely fucked uk,1
57185,"@ user # thosethataretheloudest afraid , justice coming # bono scam like # clintonfoundation # pedowood # haiti url",1
91430,"day bbc radio ’ festival day , decide tell u headline act ’ coming anymore . thanks lot , ’ paid fortune see tonne act shit interest ",1
29203,# tytlive trump need go danger country world . way get rid good,1
27913,"@ user # davidhogg , 're nobody .",1
53325,", , like , , ’ still really miserable unpleasant u ? ? like even told ’ happy would got divorced even born ’ like cool cool literally born hatred ’ awesome wonder ’ fuckup",0
46410,"# desantis=deracist , bad choice , “ distanced ” prez ’ comment today questioning death puerto rico hurricane maria @ user @ user # whataputz",1
26072,- lost acca first fucking fight cba,0
16856,@ user @ user 'll use one next time im gun control debate debate free speech tax . yes choose irresponsible choose . argue responsible . whats wrong ? n't justify murder saying never alive right .,1
89200,@ user @ user hell think ?,1
45269,# liberalismisamentaldisorder # hypocrite # democratshateamerica # democratsaredangerous everything liberal touch turn absolute shit . url,1
15437,% nigga podcasts youtube channel dedicated shit ’ getting solved url,1
91472,anytime randomly bust laughing ’ remembered dumb shit albria said ,1
98531,@ user @ user  like jewish people claim holding money . sound familiar ? left wing libtard family family kkk . hate jew ? ’ funny . gun control ; even funnier . good luck,1
43753,k bitch ,0
98685,# liberal always dirty trick get way .  url,1
31665,# conservative upset # bertenernie # gay # sexualpredator @ user hooker @ user # rapist # supremecourtjustice,1
38732,# antifa protest # athens year murder pavlos fyssas golden dawn . voter complicit crime . # killahp url,1
46983,"# conservative like old # garbage bag blowing wind , 's old garbage bag ... url",1
22067,# bakersfield need gun control ! sorry victim gunman hope rot hell !,1
79756,# honoursacrificeboycottmatch hope human right rat r happy ! hope sidhu happy ! hope liberal r happy ! let ’ play cricket wth thm let ’ thank thm wht r soldier let ’ celebrate impotence funny piddly little nation like pak taking u ride,1
99563,# confirmkavanaugh  # kavanaugh # scotus # potus # presidenttrump # americafirst # maga # kag anti # trump liberal activist accuser # ford make accusation willing subject b question ? suffer consequence filing false charge # lockherup url,1
23542,"# resist traitor caught video breaking law # communist # socialism way slow # trump agenda . dc chapter democrat socialist america . forget antifa , distraction real resistance . # maga url",1
83416,"# christineblaseyford grinding # kavanaugh party almost yr ago ... ..you got ta love age , ridiculous # metoo movement swear # kavanaugh already get , # liberal anxiety attack like / / url",1
67418,"# corybooker hero , american traitor treated . arrest , prosecute , carry sentence . # kavanaughconfirmation url via @ user",1
58632,round goon bitch kiddin me🤣,1
35612,@ user # morebs = # barrysoetorobullshit,1
96905,"# tytlive omg latino faith based woman think trump christian . wow , poster child immorality hating latino",1
79778,@ user # carrey # pervert !,1
90328,@ user nigga stupid trash dont play play bitch ,1
71350,# nooneaskme 's opinion # offset keeping beef # cardib @ user know cardi slow believe everything says.. meal ticket . think # offset need sit ugly as .,1
43782,# icymi - liberal ' favorite myth obama law professor destroyed ? ! url,1
58287,@ user demonstrate wholly incapable carrying thought logical conclusion ?,1
32061,pet ? ? ? fucking disgusting url,1
63129,# liberalhypocrisy # tacobell liberal ask illegal immigration ? taco bell employee : habla ingles ! '' url,1
74797,# blackinkcrewchi lily ’ hate ... .you hate . worst enemy cause let anger get way legit feel like shes one kid work job,1
25177,# justiceforsoniasfather mr usman buzdar sb ! please respond sonia iqbal daughter pti counsellor okara whose father killed election nawaz league killer . saying commit suicide front medium . justice ?,1
87428,@ user - worst potus . ever !,1
39400,# conservative genetic ability understand # hypocrisy # irony . right wing ideology get ya twisted knot . # onpoli # ontario # partyofyesteryear @ user # fraudnation url,1
62788,# oitnb . worst public defender . trailing pen uner word .,0
88745,# theview # bothamjean n't believe # amyguyger lying po ! live near police station..i hope pray cop n't bust house thinking 's his/hers kill me..my god..we/people color police prey..we 're always police cross-hairs..no matter,1
70443,"# antifa , september : stop fascist nvu # amsterdam ! url",1
90327,’ nyfw cause class act.. getcho wack as outta url,1
65545,# greatestthingsaboutthe liberal ’ unhinged,1
58543,"# conservative mu pray liberal . trooly kno knot watt . brot socialist democrat , wonderful , , ignorant parent . served inda military . learnd serve christ , . eye reel -eyesed conservativism closely aligned w god .",1
79222,"# disarmthem # antifa please one stupid enough . u open carry , u carry concealed . anyone stupid enough , considered act aggression shot also carry one weapon . shoot kill , maim .",1
72401,"@ user * puerto rico destroyed ; , die * trump visit , throw paper roll people * month later , puerto rico still waiting help * trump say everything fine , visit great success 🤔",1
31354,sick as ppl school gave something chug nasty drink go away,1
29008,# conservative # dumberthandogshit central point tweet,1
41590,@ user # rosie make nauseous ! 🤮 url,1
72523,# feminazis liberal # metoo count blame non-liberal man . # bizarro # kag  url,1
14640,"# brexit deal reached - unveiled special summit november , @ user sold # uk eu ? ? ? better @ user finished ! ! @ user url",1
74909,# crazyredhead # angry # orange # cheeto claim # president . never accept . denying life lost puerto rico ? # monster # … url,1
96397,"# europaleague song eu , cash remaining chip p*ss  've played card liberal u.s . brexiteers trump take nice eh life 'll better everyone . url",1
34030,$ phone . fucking dumb .,1
69073,# howtogetpeopleoutofyourhome tell 're vampire ... threaten eat n't get ass . *shrugs* ? problem ?,0
29113,"# kavanaugh moment # blaseyford exposed fraud , expect new accuser surface . liberal one trick pony . # liberalismisamentaldisorder",1
11286,"# bcog @ user cool , confident , cocky , kick as ! ! ! @ user @ user @ user url",1
41821,@ user oh fuck ,1
76379,# liberalhypocrisy # criminal # democrat # evidence # ellison # liberal # hypocrite keith ellison domestic violence accuser say democratic party n't believe story url,1
52080,# democratpartyofdomesticterrorists # fascist # antifa # feminazi n't # walkaway run ! url,1
51762,# auspol n't know still job . seriously . url,1
71592,# maga tell one good thing # trump done # president . dare ! worst president history .,1
78688,"# confirmkavanugh , stall tactic dc crony recourse . delay . # votered end madness # maga",1
76135,@ user @ user @ user @ user beat hell nj lol . dude already made assumption 'm antifa . even ignored evidence make assumption .,1
30778,# stopetchecopar ? fuck  que florezcan mil baby etchecopar ,1
22569,"# antifa mentally unstable coward , pretending relevant . url",1
48938,@ user @ user browning looked like dog shit fcs school . ’ point ?,1
41438,two taste like as . url,1
73439,# despicabledems lie rifle . dem distorted law push gun-control kavanaugh confirmation url via @ user,1
67018,people unfollowed talking merlin sorry y'all im still covinsky 's as im waiting psisly sequel announcement ive run witty funny tweet tatbilb drained,0
