id,tweet,subtask_a
58995,"@ family/friends , tell bad shit bf/gf go right back ! ! !",1
88490,# christineblaseyford # kavanaugh accuser ... # liberal try every time ... # confirmjudgekavanaugh url,1
77101,"@ user 'fellow democrat n't want @ user 🦅 @ user well.. 's 's best america . 's purely politics ' - dov hikind , democratic ny assemblyman url",0
86917,"# osho # quote via @ user listen . continuously giving hint . still , small voice . shout , true . little silent start feeling way . person . never try… url url",0
78472,"# yyc @ user looking hockey player ages/abilities humboldt tribute game sunday / . arrive pm , dress , participate opening ceremony . contact lindsay.clothier @ user interested ! # weplayforthem # humboldtstrong # hockeyisfamily # gonucks",0
17798,# conservative # brexit putting # britain last . sending chill spine # uk .,0
71873,# gamers go follow @ user # twitter # twitch playing @ user # blackops # blackout please help support twitter twitch . remember # supportforsupport # supportallstreamers url,0
30247,"# quicktip : find people already working company , within industry interested . know lot people ! send u resume info @ user message u right url url",0
81150,# liberallogic # liberal get way ... .. url,0
46444,"# arianaasesina ? serious ? ! holy shit , please fucking asshole , n't blame someone death one . sad enough today , n't see ? n't fault none , overdose died . end . stop wanting someone blame , fucker .",1
60587,@ user hiding ugly personality . worst .,1
70569,... ... bitch url,1
59200,# georgetown classmate say # left accuser absolutely nut '' url `` judge kavanaugh '' @ user @ user @ user # abc # cbs # democrat # liberal # woman # mondaymotivation # mondaymorning # veteran # law # maga # gop # cnn # msnbc # nbc # mom # blackwomen # bet '',0
30900,@ user @ user @ user referring lollygag gun control kid get slaughtered school ?,0
44546,@ user @ user @ user @ user @ user @ user @ user @ user @ user ’ shocked learn human trafficker gun . probably illegal . ca need gun control . ’ worry actual crime . pic black gun worse .,1
53982,# weloveseungcheol @ user happy proud work done train seventeen along member . see wonderful incredible . really love u   . url,0
37884,# chequer violation democracy ! ! # standup brexit @ user @ user @ user people must respected url,0
15079,"# session tell # chicago : “ want # shooting , # death , listen # aclu , # antifa , # blacklivesmatter ” url",0
51628,# conservative @ user - 're clown ! url,1
30899,*voice head transfer money credit card* “ bullshit bought pay ”,1
99680,levi strauss “ never afraid take unpopular stand support greater good. ” ' shut manufacturing america ? n't even news story happened . maybe 're right ; n't unpopular . url,0
38628,"@ user $ , wedding . clinton 's always know 's best .",0
40110,# kid beating # paraplegic # trump # boy ! # left teach # child hate violence ! # school # teacher # democrat # liberal # walkaway # mom # mother # nea # teachthemyoung # christian # catholic # jew # evangelicals # family # blackwomen # blacktwitter # black # news # medium # disabled # maga url,1
50310,"- : b- , j- , r- , b- , q- , b- , bx- , b- , rb- , z- , b- , q- , b- , h- , b- , h- , ut- , b- ( : : )",0
84101,"# askally say adore great person , please take care always",0
84876,"# doj employee resister '' r looking conservative ’ license plate , home address , legal detail lexisnexis give dem socialists/antifa-project veritas.but n't worry , govt history ever made political opponent list oppressed them url",0
57425,# kelly mcparland : latest floor-crosser telling truth liberal ’ like hearing - url url,0
83262,# greatawakening # qanon # patriotsunited # wwg wga # areyouawake awake see clearly 🧡 check video url url,0
46777,"# boycottlevis since late , levi ’ used name resource attack gun right . , company gave $ , gun control group pax , followed $ , donation another $ , . url",0
54053,fucking serious ? url,0
15998,*gets bitches*,1
62945,@ user @ user @ user got pretty deep debate friend told latino trump black trump paid supporter  said mean antifa paid domestic terrorist said anti-fascist said fascist kidding ? !,0
96457,# antifa : take note protest civility . socialism ( aka communism ) never win . inherently evil unsustainable . url,1
85977,# gmm # roastmycat hi @ user fiona . week old . fall asleep weird place url,0
70841,@ user omg real ? ! ? ! ! ? ? ? ? ? ? ) happened peru like year ago inti devaluated fucking much comoletely change coin system money worthless i-,1
46139,"# conservatism 's disagreement # conservative . conservative ca n't debate honestly , integrity . whatever get thru today , matter . 're fundamentally dishonest people . url",1
99009,# halloween sign reading # creepingup behind wood wall decoration # tmtinsta # cwsigns url via @ user,0
66388,"# huniachiweek matter going today past day , situation never permanent . god going change life good . trust believe able . please , read ... url",0
91217,@ user point contention . decided keep group top end talent also decided hire hot trash mike mccoy . wilks n't even able get defense line correctly . head .,0
91994,yet everyone seems lack url,0
58751,# maga expect censorship url,0
80947,apparently 'm committed going new level since used key . well fuck . curiosity killed cat ( hy ),1
99253,# ne need check dentist find perfect work record ? child care facility ? check online kind licensed professional 's free @ url,0
40386,@ user @ user @ user @ user ’ many shooting virginia ? jacksonville shooter got gun maryland ! ! among poster child gun control ! good ? ! ’ full crap .,1
58742,# amnesty_international : u violation international human right law passing stronger # gun_control url via @ user url,0
39752,@ user well chuck schumer 's cousin niece something obviously part dnc conspiracy nixon . part deep state . zionist plot . 'big comedy ' . whatever hell today 's conspiracy theory .,0
25262,# godspraiseroom god keep even storm may rock boat - let 's submit one really know end beginning url,0
17703,# spaldo guy . godson,0
98916,"# antifa bedfellow democratic socialist america ( dsa ) # jamesokeefe exposed inserted throughout government , attempting bring # america # trump # maga # deepstate url",1
18709,# cnn ruthlessly continues # fakenews onslot . 's honest analysis ? right ! url # tcot # cnn # nra # massshooting # cnnisfakenews # conservative # fakenewsmedia # fakenews # pba # fakenewscnn,0
26026,# brexit barometer : labour fails capitalise conservative fail please ; kantar : nearly two third uk believe government handling brexit negotations poorly . url,0
32190,@ user antifa t level influence . 's scary .,1
27550,"@ user three account . two quasi-anonymous , one completely anon . twitter ever ban one quasi-anon , 'll make two anon account tweet insane shit . drown twitter bullshit . one banned , 'll make even .",1
68539,# maga alert : joe biden # trump supporter : 'the dreg society ' ( video ) url via @ user,0
93643,$ cerc boyd 's # stock . sole holder stock among hedge fund track . url,0
99120,"@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user city chicago , democrat run strictest gun control nation . ''  's point , # notthatbright ? url",0
24040,# liberal pathetic ! innocent proven guilty mean much ? # democrat look party need rapist hang ! # kavanaughisinnocent # walkawayfromdemocrats . # liberallies straight pitt hell  url,1
85436,"# trump may many thing , entertaining ! ! ! ! thanks # twitter url",0
73516,"$ million reallocated fema ice . guy give zero shit anyone named trump . ’ mid atlantic , get . . url",1
88905,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,1
52955,"# read man invented bulb , saw failure differently , new wayz differently..now genius #",0
33452,# aunfettered repeal gun control law . government use people able well . url,0
13276,.. good thing responsible u marines.. ’ pretty sure group antifa member ’ running fast direction help anyone let alone elder seniors.. thank @ user .. salute you @ user @ user @ user url,0
26462,"# fordtheatre right cue , gofundme acct set person , new # liberal mode bribery payoff ! @ user really investigate gofundme new outlet slush fund ! # comey , # mccabe , # strzok",0
94339,"# christian twitter facebook silence conservative , christian next . censored , darkness take . help u grow living faith aloud . go one go . prayer warrior , please help u grow movement . url",0
23786,"ix ine au den speakern , fick deine political correctness",0
27371,# fall # fashion # trending # coat # color url looking ! # airdrie # calgary # lethbridge # toronto # vancouver # princegeorge url,0
88670,"# republican put wallin budget..you going loose pres.trump follower . u r , support url",0
54391,# gmm # roastmycat hi @ user fiona . week old . fall asleep weird place url,0
42112,# sesamestreet # bertandernie conversation unattractive . creator say n't create character gay attacked .,1
37740,# serenawilliams full ... painful watch listen ...,1
72405,"# colinkapernaeck done nothing sit as complain . ’ time black people die hard white liberal , think cause aka @ user wake heck stfu ! colin civil right hero martyr . near .",1
20780,"# danganronpav ... , claiming mastermind , yet still ’ believe . ’ think ’ mastermind . evidence suggests , ’ evidence suggests ’ ...",0
38820,# monbebeselcaday beautiful url,0
82913,# lockhimupnow # maga # qanon @ user best president ever url,0
97383,@ user # goodbyenfl  great player became marxist ! ’ keep nixing sport league display support b ‘ oppression ’ narrative . # goodbyenike,0
21397,# liberal # left # democrat # resist # resistance # antifa # bluewave # bluewave 's  # walkaway     # maga    url,0
51738,"# emailmarketing # sale teach create exclusive , online 'traffic economy ' never short lead sale url url",0
47445,". jeff session : ‘ listen aclu , antifa , black life matter ’ want chicago shooting . url",1
27158,amazon ship live christmas tree door — stay put damn light ? url,1
26382,@ user sweet ! congratulation . house broken get better,0
17183,@ user bet lot safer sex tho ? ’ one kid . cant mom get dicked ?,1
10595,# speaks ( nsfw ) url,0
49481,"# jameycomey silent last week , know 's going indicted . : # fbi # doj # strzok # page # textmessages # qanon # patriotsfight ty . @ user # maga url",0
37949,# supernaturaltnt # themanwhowouldbeking omg ! @ user amazing ! @ user crowley ca always great together miss !,0
96729,"*available adoption* lincoln county , nc roger # sex : male/neutered age : week old intake : / / url",0
42325,# conservative govt ' @ user made life hell ' : whistleblower say threatened regulator ; thought govt promised protect whistleblower ? url,1
21748,apple live keynote # appleevents url,0
24316,@ user # zuckerberg lie .,0
19516,# lilduval “ know u ’ going work tomorrow ” # happyfriday # smilebitch # livingmybestlife # hittemwithdashoulders url,0
79383,# antifahorst - whuuuuut ? !  # antifa # maassen # seehofer url,0
64857,"# notetomystalker n empire : trust , penance life n career true , nature leave stone unturned getting . left nothing . every one . matter powerful .",0
89936,# freeleahshaibu negotiate release ! someone 's daughter ! ! @ user @ user,0
90362,# serenawilliams serena caught cheating coach 's collaborative think thief . mind real thief umpire spotted going called . 's like couple bank robber blaming guard calling police,0
75620,# antifa ... ... .. retweet ’ stop watching ... url,0
24907,# notout thank following ! !  # leicester  @ user # voteforchange # localelections  # votetory # voteconservative  # cutcrime # cutredtape # cuttaxes # cutgrass  # betterserviceslowertaxes ,0
26259,"# thingsyoushouldneverassume someone say she/he okay smile , maybe he/she n't wan na worry .",0
76095,"# repost @ user get_repost  love fooled mistake made , dark image hold . remember beauty feel… url",0
11557,# nick gehlfuss stan watched friend ! going stop # tvtime url,0
51963,"# seo # tip : master fate online , wise n't expect pity . screw , nobody else blame .",0
15180,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,1
58026,# maga # qanon # greatawakening # inners # wwg wga # nowcomesthepain # walkaway # goodbyedemocrats ellison accuser say 's sidelined party url,1
26432,"# truth show build personal , online 'traffic economy ' never short supply qualified prospect sale url url",0
76565,@ user gun control ? 'm wondering control body got suicided . need controlled . / / # gitmo pain coming . # maga # qanon # benghazi hope televise demise .,0
91588,# antifa new cause url,0
58033,# balkan conservative unite # family congress # moldova url,0
81352,# boycottnfl . @ user dead . @ user @ user url,1
33133,"@ user # walkawayfromalldemocrats michelle year sure n't need bad advice . new sheriff town , 's # maga . get vote - color , gender ( aka ) american ! ! ! url",1
96661,# constitutionday enforce u.s # immigration law one set law illegal alien one set law citizen ! # trump # maga # rednationrising # nodaca url,0
91036,# blaseyford ’ comical liberal always want way first woman need treated equal come ford testifying say ’ unfair men asking question . dems woman equal receive special treatment ?,1
56581,"# gun control kill people , need concealed carry url",0
22882,"# ted always feel appropriate public behavior . , often , unable control . # gopdysfunction url",1
66377,# followthewhiterabbit # qanon # greatawakening # spygate # walkaway qanon # qarmy # maga # google # maga poland # fisadeclassification # dearprofessorford url dem u senator corey booker molesting year old 's surface url,0
40842,"@ user stick comedy ... n't funny yo start , political commentary pathetic ! ! !",1
73612,@ user # holder needed impeached,1
45709,# wearebroncos little guy love bronco ! ! ! ! one biggest fan ! ! ! # beon @ user url,0
21338,# bbcnews - cleverly : cut # nh james cleverly # conservative coalition health spending url,0
15630,cute hell love look like antifa protestor ( really freezing cold hunter ) . need dye hair omg loved redhead . url,0
15815,# believeallwomen think thing ca n't get dumber.. happens.. liberal probably n't realize child n't equality . treat woman men same.. pretty sure 'll better result culture,1
53858,# today two important day life day born day find . '' mark twain '',0
89606,# theladybam spoken !  simply best !  # spreadmarylove  # onward url,0
30942,# medium # credential poc problem @ user please send dm like tweet,0
56973,"# alert win progressive conservative . ontario court appeal granted stay # bill , cut number toronto city councillor .",0
24049,# sierraburgessisaloser phone ding ,1
79204,@ user # metoo racist !,1
46229,# gop still acting like wimp are.. ! ? ’ yet realized liberal hate regardless sentiments.. either republican stupid get way ’ tilted far left.. # confirmkavanaughnow,1
93101,"# serenawilliams first mother woman 's tour . embarrassingly entitled bully . yes , kim clijsters winning major year baby . @ user @ user @ user url",0
42196,# thearchers want brilliant karate kick shit everyone '' '',1
38084,". fed agency - hijaked info fed agency extremist group secretly funded - antifa , blm , soros , cia",0
67973,# baldwinfundraises k street firm working pro-bono gun control lobby # law # tammybaldwin # fundraiser ... url url,0
72071,# aafiasiddiqui convicted # terrorist widely hailed daughter # pakistan . url,0
34669,# dregsofsociety ? ? ? # deplorables liberal usually dehumanize want exterminate later url,1
66054,"# aldubloveandbeyond rise life , friend know , fall , know friend are..",0
15607,"# gemini woman : change scene , liable change cast .",0
13959,# wce favorite girl ! hope day awesome ! url,0
34575,# emmyawards - rating tank expected . possibly stand watch many liberal one place one time .,1
27546,@ user 'cult like ' cap . hmm else see cult like cap # maga 🤯🤯,0
69203,# eagle setting workout jeremy maclin according @ user ca n't week though still hurting .,0
86385,"@ user let 's friend civil discussion . '' 's totally fine told face life sinful . criticize ever lightly civil anymore , deserves block ! ''",0
20357,@ user # gutierrez always nothing # racebaiter,1
83011,# disarmthem # antifa give jack participation trophy ! url,0
80059,# cognitivedissonancechallenge one painful conservative . proceed caution . url,0
52104,"# chequer crash burn # strasbourg along # may 's hope clinging power ... …..her support ebbing away @ user party , # parliament country . time load webley ... ..",0
29531,# john_fund : kavanaugh ford controversy – 's even honest liberal upset url via @ user url,0
52445,"# elitist # actor # nbc # liberal # dems # hollywood # emmy award 'toothless ' # nbc self-promotion onslaught peppered # metoo crack planned , staged okay # democrat # socialist # liberal # left # walkaway ! url",1
12746,@ user kellerman know thing average man boxing ! brady hater . say rodgers maybe better thrower ie . dan marino better qb brady . jut look playoff record .,0
10991,# drford # dearprofessorford fraud female @ user group paid organized # georgesoros url,1
63725,# osaka say crowd noisy really n't c going . focus cuz great champ confused score went - .,0
57135,"# bluewave # dumptrump …give love , cooperate/compromise w/ , conservatives/trump supporter constantly vilify marginalized group , constantly attack woman ’ right make choice body , …",1
11284,. @ user take season opener saturday . highlight : url,0
57107,@ user @ user @ user ummmm fascism actually started mussolini italy antifa part anonymous . anonymous censor like antifa . related anonymous anti censorship url,0
72369,# nightmayor 's dt cycle track easily open antifa tennis court inside crescent height able trash nenshi ’ communist vape shop !,1
84879,"# mplspotlight : met stefanie ? 's newest adult service librarian . putting lot hour cleaning collection . favorite find , book unique home . see , sure say hi ! '' # monrolib url",0
42192,# arunjaitleystepdown shameless # fm history india audacity shamelessness lie public disgrace post .,1
20034,# canada 's liberal government reject @ user recommendation political party comply # privacy law # facebook / # cambridgeanalytica scandal url,0
39516,marry please.. '' { # roguebot } '',0
43587,# conservative £ bn housing on-trick @ user - crock sh # te '' ! @ user # housingcrisis url,1
10684,week resp done still n't know shit as still vacation mode ,1
76394,( nab ) jesus wo n't reject u-come -homeward bound towards heaven kingdom open door only-,0
76692,"# nickelodeon @ user # kallysmashup angel'sheart , the forceof characterof goddessand lightshinesas much like star.she ... @ user # maiareficco url",0
41553,# coupdetat # spain # catalona . # spain # fakedemocracy @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user # cddr # shameonspain # wakeupeurope @ user @ user url,1
48839,"# analysis : supporter people 's party canada would likely bristle called liberal , '' belief fit classic definition . url @ user",0
38718,"# barbiedreamsvideo saw genius interview , thank loving u much , way love barbie , beauty brain ",0
56048,"# justiceforsoniasfather @ user @ user @ user @ user @ user @ user @ user @ user plz help sonia . pain . pti official responding . also getting trouble pmln goon . , plz help . thanks",0
18997,"# # ok , @ user , @ user eric holder talking gun control . pulled time . 'm going keep reposting everytime get taken ! ! url",0
36720,# conservative today ... url,0
51656,# liberal # democrat use first step food preparation ... url,0
62986,"# liberalismisamentaldisorder , also danger country . # liberal showing utterly hateful . care truth , care power .",1
24430,"# florencehurricane hour sustained lethal cyclonic force , hour impact # northcarolina # southcarolina , # georgia ... n't stupid ... get away area ... @ user @ user # florence sep : pm # nyc # miami # houston # chicago # nj # ca # la url",0
19563,"# antifa # uklabour , # fbpe , # sutr pay attention ! # forbritain fighting - ? url",0
19836,@ user expert ni & amp ; block anyone challenge view -- want view heard-he obsessive love eu-,0
31033,# antifa demo memory # killahp . # greece url,0
70051,@ user coranated attack idiot loon ! get worse much worse election ! u imagine idiot want get rid economy along interest rate polished politician ? idiot !,1
73642,@ user @ user awwww stinking cute ! old ?,1
10727,"# benghazi # haiti # uraniumone # sethrich justice department need ? double standard ! 're rich powerful n't mean rob , seal murder ! # draintheswamp # hillaryforprison # votered # maga url",1
73442,"# black_eyed_peas tackle gun control , social justice new song ‘ big love ’ : single highlight group 's first album eight year , 'masters sun ' url url",0
59758,# censorship awake yet ? ask conservative censored ? # walkaway url,0
11781,didnt beat like ... said looking delicious . '' say clean bruised knuckle . `` nobody talk woman way ... except . '' pull lap . `` want kiss make feel better ? '' tease.+ url,0
11645,# jointhefight join fight american communist ... democrat liberal taken crap edge coming back . openly promoting destruction america . # jointhefightagainstcommunism url,1
91116,# art # artistsontwitter # soul # goodbusiness # entrepreneur # success # excellence # womaninbusiness # mindblowing # quotestoliveby “ gentle . child universe le tree star ; right here. ” max ehrmann url,0
86437,"# icymi : welcome anna grey barbour woman ’ volleyball team ! anna terry sanford high school graduate . studying dental hygiene college . ’ proud make trojan , anna . good luck season ! # blackngold # trojan  url",0
86268,# biggbosstamil # biggbosstamil # biggboss tamil intha # aishwarya va kuda manichirlam ana intha # yashika  biggest reason every fight bb house . yet foolish people support task . url,0
21643,# totallyblogging - want know keep focus blogging ? 's easier said done start take look stop quitting ! url # ukbloggers # fbloggers # bbloggers # lbloggers url,0
72274,@ user @ user stated talk zionist involvement / metaphysical masturbation disinformation agent taking advantage people lesser intellect . ashamed ’ ’ # zionel,1
95198,"# update : new projection state hurricane # florence may travel coastline entire nc/sc coast possibly suffering # florence 's deadly storm surge greatly increasing seriousness rain/wind south carolina surrounding area , even possibly georgia url",0
31550,"# liberal like , economics ? n't even know gender . '' ''",0
21524,"# khaleesi kinda watching # hiac ! wtf think , person ? pffft pathetic url",1
84579,and🤷‍ female b shit url,1
26291,# brexit # uklabour # labour # conservative # plaidcymru # green # politics # eu url - poll,0
72424,"# breakingnews , via nyt new york time url",0
28744,# hchottestceleb round match scarlett johansson v.s emma stone poll url,0
59961,"# sugardaddy retweet want $ daily usa , canada uk # sugarbabyneeded # sugarbabywanted # findom # sugarbaby # canada",0
59519,# declassifydocuments love watching liberal like maria squirm . # outnumbered,1
51386,"# politicsinfocus look donald ! duck , stop patronizing ! url",1
76052,# naturephotography . # nature . # bird # wild # wisconsin # photography . # picoftheday . # pic # fridaymotivation . # fridayfeeling . # instagramers . hope # amazing day url,0
14837,# carolineforbes needed help posted sl . dm audition .,0
57295,"# wcw @ user mean hey , great friend happy help mission anything else might need !",0
74610,"@ user @ user would offbalanced exactly smart , basic grappling : might instinct antifa used basic grappling : cross side collar snap , stepping weak single leg attempt",0
55653,"# cancer hate crime n't actual crime . 's victim , 's called crime . ( malum se ) hate '' crime socially engineered programming control people 's behavior , like gun control . # changemymind url",0
10918,# carbontax work put ton money back canadian pocket . . @ user . @ user . @ user . @ user part trudeau campaigning national carbon tax . conservative died . want another death ... oblige . url,1
57541,antonia evans either sex trafficked cremated .,1
55318,# repost thesavoyshow get_repost  # markknight say racist drawing racist picture # serenawilliams .. ’ believe nah ?  url,0
80965,@ user worrying thing teaching young adult .,0
14051,# walkaway # democratsocialists # socialist # socialism # resist # communist # antifa # cult # crazy # insane # mentalillness # emptyheaded # berniesanders # venezuela trillion new tax # alexandriaocasiocortez # ocasiocortez # endorsementfail # missvenezuala alexandria ocasio cortez url,0
25125,# theview stormy trapped dollar bill face poor pornstar worry democratic party leader,1
81974,"# proudalumnus keep great work , @ user n't forget great leadership , take time soak skill aim teach . url",0
76797,# wildcardwednesday # maxdrivewildcardwednesday # onairwithshine # np happier - @ user ft @ user # maxdrive w. @ user # radioenchantress,0
57494,@ user deep end . call intervention,0
49441,# cnbc 's go talk gender gap silicon valley wo n't talk gap conservative # emocrats # bias,0
78266,$ million funding competition u city ’ nice . ⁦ @ user url,0
31401,@ user chicom spy ... .. # clubgitmo,0
80020,"# repost @ user  ’ forget give prop naomi osaka ! !  played idol . someways win overshadowed , humbled her… url",0
61295,entertainment agency gon na as . url,1
45518,@ user obviously getting suspended . asset anyone,0
53351,"# trump really , everything trump another piece evidence obstruction justice . talking crime machine .",1
51610,# canada - exclusive : # trudeau # liberal leave $ meant help veteran unspent since taking office url,0
26758,@ user @ user ... show u hot ?,0
30718,@ user @ user @ user yet answer *realistically enforceable* gun control law would *prevent* tragedy without violating due process hipaa ...,0
25463,"# disarmthem ? go show moronic antifa type , good way encourage dumbass rightfully get speedrocked . open carry user practice weapon retention . gun grab go badly try . get shot , n't . # url",1
82558,# maga ... got idea could done ? url,0
85613,# christinebford # liberalsaredesperate @ user every time liberal n't get way cry racism sexual assault . hard believe,1
36875,( url ca n't summarize ranking game mode one picture '' url,0
86142,# learn become # better instead remaining # stuck become # bitter . # clifeclearly # clifethryve # aboutthatlife # clifemacon,0
87711,"# kamalaharris may run president , never # potus . sadly , guaranteed leadership role politics , much like # diannefeinstein , ’ reality liberal california . ask # nancypelosi ! # chuckschumer # cnn # msnbc",0
51626,levi strauss “ never afraid take unpopular stand support greater good. ” ' shut manufacturing america ? n't even news story happened . maybe 're right ; n't unpopular . url,0
59423,# repost @ user giving word jacket . # preach # saynotofuckboys # dontgiveyourmagictomuggles url,0
80555,# emmy sooo lovely love dress colour design look like fairy tale tender  url,0
85830,"# change remember past administration chant change '' . change carried baton nothing . potus making change . say . far better . like . swampies , liberal , lefty hatin . n't hatin ''",0
29102,open letter mac miller url,0
85886,"# cincinnatienquirer step # gun control finally . took # massshhoting damn door step # editor wake , better late never . url",1
54621,! ! ! ! bitch ’ fucking coming back url,1
80397,# liberal reaching peak desperation call # phillipruddock talk # turnbull convince help # wentworthvotes sept @ user # auspol # lnp # nswpol @ user @ user @ user # lnpmemes url,1
76937,@ user chicago stricter gun control . doesnt work !,0
68875,$ uicideboy $ halloween aboout get sooooo fucking spooky,1
89591,@ user . 'm glad always go something reckless show going coming back everytime ! jeff best ! ! !,0
67926,"# democrat controlled city strict gun control law @ user want blame # gop um , ’ rich # democrat trying keep black poverty ? # walkaway url",1
41588,@ user got love people making law tend know nothing subject 're making law . hear gun control law people try pas state .,1
18091,@ user @ user @ user @ user @ user here . ca n't hear saying,0
56205,@ user @ user @ user @ user penny belief intelligent know ... ..i think may smartest canadian ... ..ever . canadian fun watch . get twitter u find anyone opinion . like rush ... hockey,0
24467,# sandraoh ... oh love brought parent ... ( ) epitome grace beauty !,0
47245,# healingyourself connected # healingothers .,0
32851,# christineblaseyford need testify oath anything . claim investigated far claim investigated . if/ come word vs. # kavanaugh 's approved soon possible . full stop . # maga # qanon,0
86982,# maga @ user antifa website instructing hurt multiple police officer cross border . url url,0
95247,"# nationaldayofencouragement # encouragementdare therefore # encourage one another build , fact ! ! # thessalonian # scripture # verse donate , go website ( link bio ! ) , call - - email donate @ user # community url",0
74211,-year-old bletchley park veteran : helped defeat nazi 'm ready fight fascism url,0
51948,@ user # walkawayfromcatholicism corrupt core become giant autocratic pedophile ring .,1
28196,"# california patriot ... especially # ca obama/soros attempting take house seat get control congress . say tj cox . shill candidate fronted dastardly duo . please get vote david valadao house , dist ! follow @ user url",1
71881,# noshadenotea like community college parent still pick drop . need get life together omg,0
50376,- take nigga name bio . url,1
64161,@ user exactly ’ bc slick wood unconventional look ’ yea ’ attractive u shit ’ matter @ lol,0
45304,# arrestgeorgesoros fund # domesticterrorists # antifa url,1
22248,# interesting gone kind background check similar # fbi background check # judgekavanaugh ? url,0
27228,# conservative govt run debt spite austerity cut rich doubled wealth . # inequality url via @ user,1
57326,# crowderconfronts continues expose sjw bully paper tiger conservative fight back truth fact . # dontbeafraid # confrontwithtruth url,1
97729,x fun y'all url,0
24957,"... antifa comrade miss nuance ( lot n't , still , people , know ) : 's white nationalist , '' 's specific community . 's us white supremacist rhetoric employed wns , give dangerous company them.. ''",0
68774,# beckylynch beautiful one woman wrestling absolutely need work done . 's absolutely beautiful way . n't need giant boob fake booty . @ user simply amazing # hiac,0
43350,@ user @ user @ user gun control nothing people control . left want gun control want u little guy armed & amp ; able defend . make harder get u behind barbed-wire fence saw north korea .,0
41709,"# alert win progressive conservative . ontario court appeal granted stay # bill , cut number toronto city councillor .",0
71063,$ amazon/pp- -ww-murder food porn : northwest cozy mystery # -dianne harman-ends / url,0
92516,# wcw # wce @ user ’ special day week . really miss ’ looking forward see soon . ’ forget love . love heart heart !  url,0
85100,# barbiedreamsvideo @ user love you fux even roman feel like ... roman actin ' like nicki !  dimelo papi papi !,0
89661,# martina # navratilova : # serenawilliams got wrong via @ user always really liked respected martina voice reason . url,0
47898,"# bodyguard far fetched alive impossible . think budd worse enemy sign split personality , uncertain today 's episode place !",0
88523,# bookreviewer meet ronaldo ! second-year student reindeer flying academy . way breaking speed record flying contest stumble upon mystery perplexes thought . '' thanks @ user url # u # mglit url,0
19321,# backto # onevoice # swomen # sbornwomen @ user took six year pension agree . need pension back ! url,0
26042,# maine need face fact @ user ’ really represent anymore playing game say undecided kavanaugh know going vote confirm . time dump susan collins .,0
