id,tweet,subtask_c
27550,"@ user three account . two quasi-anonymous , one completely anon . twitter ever ban one quasi-anon , 'll make two anon account tweet insane shit . drown twitter bullshit . one banned , 'll make even .",0
24040,# liberal pathetic ! innocent proven guilty mean much ? # democrat look party need rapist hang ! # kavanaughisinnocent # walkawayfromdemocrats . # liberallies straight pitt hell  url,1
73516,"$ million reallocated fema ice . guy give zero shit anyone named trump . ’ mid atlantic , get . . url",0
88905,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,0
42112,# sesamestreet # bertandernie conversation unattractive . creator say n't create character gay attacked .,1
37740,# serenawilliams full ... painful watch listen ...,0
72405,"# colinkapernaeck done nothing sit as complain . ’ time black people die hard white liberal , think cause aka @ user wake heck stfu ! colin civil right hero martyr . near .",0
47445,". jeff session : ‘ listen aclu , antifa , black life matter ’ want chicago shooting . url",2
27158,amazon ship live christmas tree door — stay put damn light ? url,2
17183,@ user bet lot safer sex tho ? ’ one kid . cant mom get dicked ?,0
42325,# conservative govt ' @ user made life hell ' : whistleblower say threatened regulator ; thought govt promised protect whistleblower ? url,2
15180,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,0
58026,# maga # qanon # greatawakening # inners # wwg wga # nowcomesthepain # walkaway # goodbyedemocrats ellison accuser say 's sidelined party url,0
81352,# boycottnfl . @ user dead . @ user @ user url,0
33133,"@ user # walkawayfromalldemocrats michelle year sure n't need bad advice . new sheriff town , 's # maga . get vote - color , gender ( aka ) american ! ! ! url",0
91036,# blaseyford ’ comical liberal always want way first woman need treated equal come ford testifying say ’ unfair men asking question . dems woman equal receive special treatment ?,1
22882,"# ted always feel appropriate public behavior . , often , unable control . # gopdysfunction url",0
40842,"@ user stick comedy ... n't funny yo start , political commentary pathetic ! ! !",0
73612,@ user # holder needed impeached,0
15815,# believeallwomen think thing ca n't get dumber.. happens.. liberal probably n't realize child n't equality . treat woman men same.. pretty sure 'll better result culture,1
24049,# sierraburgessisaloser phone ding ,0
79204,@ user # metoo racist !,1
46229,# gop still acting like wimp are.. ! ? ’ yet realized liberal hate regardless sentiments.. either republican stupid get way ’ tilted far left.. # confirmkavanaughnow,1
34669,# dregsofsociety ? ? ? # deplorables liberal usually dehumanize want exterminate later url,1
34575,# emmyawards - rating tank expected . possibly stand watch many liberal one place one time .,1
20357,@ user # gutierrez always nothing # racebaiter,0
52445,"# elitist # actor # nbc # liberal # dems # hollywood # emmy award 'toothless ' # nbc self-promotion onslaught peppered # metoo crack planned , staged okay # democrat # socialist # liberal # left # walkaway ! url",0
10991,# drford # dearprofessorford fraud female @ user group paid organized # georgesoros url,0
57135,"# bluewave # dumptrump …give love , cooperate/compromise w/ , conservatives/trump supporter constantly vilify marginalized group , constantly attack woman ’ right make choice body , …",1
72369,# nightmayor 's dt cycle track easily open antifa tennis court inside crescent height able trash nenshi ’ communist vape shop !,0
42192,# arunjaitleystepdown shameless # fm history india audacity shamelessness lie public disgrace post .,1
43587,# conservative £ bn housing on-trick @ user - crock sh # te '' ! @ user # housingcrisis url,0
41553,# coupdetat # spain # catalona . # spain # fakedemocracy @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user # cddr # shameonspain # wakeupeurope @ user @ user url,1
62986,"# liberalismisamentaldisorder , also danger country . # liberal showing utterly hateful . care truth , care power .",2
70051,@ user coranated attack idiot loon ! get worse much worse election ! u imagine idiot want get rid economy along interest rate polished politician ? idiot !,1
73642,@ user @ user awwww stinking cute ! old ?,0
11645,# jointhefight join fight american communist ... democrat liberal taken crap edge coming back . openly promoting destruction america . # jointhefightagainstcommunism url,1
72274,@ user @ user stated talk zionist involvement / metaphysical masturbation disinformation agent taking advantage people lesser intellect . ashamed ’ ’ # zionel,2
21524,"# khaleesi kinda watching # hiac ! wtf think , person ? pffft pathetic url",0
84579,and🤷‍ female b shit url,1
59519,# declassifydocuments love watching liberal like maria squirm . # outnumbered,1
51386,"# politicsinfocus look donald ! duck , stop patronizing ! url",0
10918,# carbontax work put ton money back canadian pocket . . @ user . @ user . @ user . @ user part trudeau campaigning national carbon tax . conservative died . want another death ... oblige . url,2
57541,antonia evans either sex trafficked cremated .,0
25125,# theview stormy trapped dollar bill face poor pornstar worry democratic party leader,0
61295,entertainment agency gon na as . url,2
53351,"# trump really , everything trump another piece evidence obstruction justice . talking crime machine .",0
25463,"# disarmthem ? go show moronic antifa type , good way encourage dumbass rightfully get speedrocked . open carry user practice weapon retention . gun grab go badly try . get shot , n't . # url",1
85613,# christinebford # liberalsaredesperate @ user every time liberal n't get way cry racism sexual assault . hard believe,1
85886,"# cincinnatienquirer step # gun control finally . took # massshhoting damn door step # editor wake , better late never . url",2
54621,! ! ! ! bitch ’ fucking coming back url,0
80397,# liberal reaching peak desperation call # phillipruddock talk # turnbull convince help # wentworthvotes sept @ user # auspol # lnp # nswpol @ user @ user @ user # lnpmemes url,1
67926,"# democrat controlled city strict gun control law @ user want blame # gop um , ’ rich # democrat trying keep black poverty ? # walkaway url",1
41588,@ user got love people making law tend know nothing subject 're making law . hear gun control law people try pas state .,1
51948,@ user # walkawayfromcatholicism corrupt core become giant autocratic pedophile ring .,2
28196,"# california patriot ... especially # ca obama/soros attempting take house seat get control congress . say tj cox . shill candidate fronted dastardly duo . please get vote david valadao house , dist ! follow @ user url",0
50376,- take nigga name bio . url,2
45304,# arrestgeorgesoros fund # domesticterrorists # antifa url,0
27228,# conservative govt run debt spite austerity cut rich doubled wealth . # inequality url via @ user,1
57326,# crowderconfronts continues expose sjw bully paper tiger conservative fight back truth fact . # dontbeafraid # confrontwithtruth url,2
88221,# biggbosstelugu many # kaushalarmy cum @ user fan ... url,1
97610,"@ user @ user @ user okay ? anybody go eredivise score + goal . shit league . bundesliga team competitive euro competition . mexico ’ produced talent like pulisic long time . ’ okay , maybe guy one day .",2
63048,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,0
30075,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,0
60466,"# christian # america – go # trump ’ example , liberal support open border , guess conservative support school shooting . please explain make america great .",1
25685,@ user @ user @ user disingenuous person senate . senator would hide shame despicable behavior scotus hearing .,0
16333,# democrat # liberal # threatened # armed # nazi talk # disarmament # disconnection # military # lifestyle ? # broadcast # armory # killskills # rightfuckingnow url,1
78417,". wanted tell hang . think ’ fun ! also , lmao dick tongue ? people easily suck . haha kidding aside , aint want tongue dick look hella weird.. choice weird whatever",0
51525,# avalanche 'm sorry ! see ! love ! asshole ! know # maga,0
84550,# ff @ user alien future  url,1
23530,"# familiarwife jh-omg , crazy wj-wait ! ... .yes , interested assistant manager cha bh-you guy look like good pair vo-are '' ? sit jh-do n't ! wj-lets live life . let news-collision hwy , congestion jh-woo-jin~ url",0
57284,"# thingsdarthvaderwouldneversay yup , white mask privilege 's finest . always trying keep black mask # blacklivesmatter # qanon # antifa # alexjones # infowars # starwars # maytheforcebewithyou # thirdshiftzombies # podcast # radio # whitesupremacy url",1
59700,’ saying cool feel type way me.. speak fuck .,0
13433,# cuckservative traitor worse fortnite player url # conservative # triggerwarningradio,1
80197,"# barbara boxer liberal want use rape political tactic ! better hard evidence ! word n't evidence ! ! ! called hearsay . note , could say ' ' cornered bathroom , put hand ' year ago . prove wrong url",0
79309,# constitutionday 's odd alt right conservative say ruining constitution want # guncontrolnow one ruining constitution getting upset foreigner coming land white wanting live,1
47696,# liberallogic # kavanaugh look predatory . therefore 's guilty . # liberal dangerous people govern anyone anything . url,1
55633,"# orrinhatch ’ believe sexist , clueless , old fart get weigh another woman ’ charge supreme court nominee . spouting old nasty shit spewed + year ago anita hill . time ’ ! good riddance neanderthal !",0
87934,". ( part ) n't think hard come gabriel . 're lizard themed , glitter bombing , antifa mech pilot using superhero power take corrupt logging company . 're buff lesbian heart uniform . literally 's love ?",1
27455,"# liberal / # democrat stand . , # walkaway url",1
83466,# beeto demonstrated lose election # texas url # maga @ user # rkba @ user # dvc,0
48657,bitch thinking nigga money tf ’ .,1
86611,"# dems disgusting . believe woman accuse conservative abuse crime . liberal accused , ignore accusation . url",1
12193,# christineblaseyford harassed member antifa radical arm democratic party funded george soros . # voteredtosaveamerica,1
63985,cent call joe budden 's bullshit '' instagram url url,0
20522,"# bb actually question people want jc win angela ? way meaner , say n word repeatly , make fun eating disorder , sexually harasses houseguests.she much underdog win dont use excuse . # bb # tangela",0
70324,alright let get right god bc mother nature like fuck human url,1
89329,# hillary @ least # angrydemocrats # worldwarq # wwg wga # maga # redtsunami # americafirst # walkaway # truth url,2
11100,# antifa recruiting designated # terrorist organization url,2
83240,# hypocrite # democratshateamerica # liberalismisamentaldisorder everything liberal touch turn absolute shit ... url,1
81890,@ user @ user said medium money soros dip shit water creating civil war .,0
72037,# texas ted cruz campaign sending people solicitation disguised official looking county summons . elderly resident confused notice appear . skeezy . url,0
94607,anyone find m*neta 's behavior funny fuck die,1
72531,# goodmorningamerica # tuesdaymotivation # thankyou # fathergod # americanpeople begin see # truth # governmentcorruption @ user @ user @ user # mediacorruption # noredaction # declassifyfisa # declassification completely # obama # hillaryclinton # lie # leaker # liberal url,2
98575,"@ user difference stated , inane asinine comment solidified bring fact truth , lie bullshit . present single shred credible evidence support single thing 've said . lie 've got .",0
58342,@ user damn felt shit . loud lol,0
39429,# msnbc # hardball @ user bingo absolutely correct bring president obama . ’ get president obama humiliated white house correspondent dinner guarantee definite driver hate president obama,0
18786,# cnnisfakenews @ user @ user wonder rating suck ... # cnnisajoke # fakenews # maga url,2
67049,# joescarborough vile excuse journalist '' . criticizing # trump yet refuse come clean death intern office . stop talking everyone else start talking involvement # loriklausutis . @ user,0
98216,"dreg society '' ... labelingand dehumanizing conservatives.i suggest , , conservative keep ammo dry gun loaded..if fascist liberal left think conservative go quietly internment camp slaughtered street need reality check . url",2
37649,# feinstein cant say anything truthful . loers liar . url,0
59751,# nigeria # naija # ja 'you incompetent leader nigeria ’ history ' – atiku blast buhari url championnewsng via url,0
92215,"# emmy well , ex-crackheads liberal democrat ; ...",1
22311,@ user # diversity work joining new group want part team . # islam hate every non-muslim # fail # unicorn,1
75125,// want kick twitterfuck as .,2
21354,"# faileddemfeinstein quit decade ago . disgrace . feinstein blame gop kavanaugh accuser stay mum , admits ' ca n't say everything 's truthful ' url",0
22594,@ user @ user @ user fascism also liberal antifa according meme .,1
33394,". grown as woman , probably year older currently spreading rumor rather talking , nice work got satan ",0
56513,# conservative ’ care post..it ’ @ user propaganda.. url,2
59691,# idiot nothing beneath ? lol . fool liberal ! # maga # kag  url,1
41997,@ user kindest explanation tone-deaf . 's hard feel kind ilk repeatedly .,0
56637,"# amazonpets etta tricky photograph colouring , beautiful know . charge , first dibs treat , shout attention whenever come house . kill wild rabbit hang hutch . url",0
97410,# geoffreyowens nigga ’ really understand ... level career pursuit,0
77746,"... death _metal_ ? want death metal ... tell , hateful keebler elf , death metal ? ? ? ? url",0
17704,"# kavanaugh disciple anthony kennedy , ed liberal w/ unconstitutional opinion ! 's trump 's con con conservative 🤔ing # scotus moving right ! @ user smart , 'd everything get bk  . wo n't ! idiot ! # tuesdaythoughts url",1
61674,# america ... tear # wall ! url # tcot # partisanship # trump # thewall # borderwall # liberty # civilsociety # think # conservative # democrat # progressive # liberal # independent # libertarian # gop # dnc # criticalthinking,1
39860,dickhead ? ? ? ? probably yes,0
79934,@ user 'cause everyone know real leader fall van like sack potato ... ..,0
55048,# boycottnike campaign must continue grow paying overseas staff $ . hour okay staff '' . exploiting poor women/men world . american stand . url,2
76833,"# news jeff session : want death , 'listen aclu , antifa , black life matter ' '' url # cnbc ''",2
55832,# david # miliband # davidmiliband flew away # newyork # u # liberal # democrat - flee # corbynists hatred jew,1
32056,anyway game suck : ),2
67841,# ibelieveblaseyford liar fat ugly libreal # snowflake sold get cash ! ! dems iran ! spoke # johnkerryiranmeeting ?,0
94427,# conservative represent canadian . authoritarian scum . # cdnpoli # onpoli url,2
96594,# ford 's attorney say 's receiving death threat move family safety '' . 's proof # democrat # antifa promote circus ? '',1
62689,# scottgimple ruined # thewalkingdead # feartwd . hope check cash forever never get another job . # amc,0
35968,another season tom brady give nigga,1
14516,# lifeisbutepu black say word nigga '' . feel nigga ? ? ? url,1
15866,# austerity low pay # tuitionfees lack housing wage falling # universalcredit unaffordable rent # nh crisis crap railway empty shop # brexit deal exit eu # windrush # grenfell short year @ user completely fucked uk,0
57185,"@ user # thosethataretheloudest afraid , justice coming # bono scam like # clintonfoundation # pedowood # haiti url",1
91430,"day bbc radio ’ festival day , decide tell u headline act ’ coming anymore . thanks lot , ’ paid fortune see tonne act shit interest ",2
29203,# tytlive trump need go danger country world . way get rid good,0
27913,"@ user # davidhogg , 're nobody .",0
46410,"# desantis=deracist , bad choice , “ distanced ” prez ’ comment today questioning death puerto rico hurricane maria @ user @ user # whataputz",0
16856,@ user @ user 'll use one next time im gun control debate debate free speech tax . yes choose irresponsible choose . argue responsible . whats wrong ? n't justify murder saying never alive right .,1
89200,@ user @ user hell think ?,0
45269,# liberalismisamentaldisorder # hypocrite # democratshateamerica # democratsaredangerous everything liberal touch turn absolute shit . url,1
15437,% nigga podcasts youtube channel dedicated shit ’ getting solved url,1
91472,anytime randomly bust laughing ’ remembered dumb shit albria said ,0
98531,@ user @ user  like jewish people claim holding money . sound familiar ? left wing libtard family family kkk . hate jew ? ’ funny . gun control ; even funnier . good luck,1
98685,# liberal always dirty trick get way .  url,1
31665,# conservative upset # bertenernie # gay # sexualpredator @ user hooker @ user # rapist # supremecourtjustice,1
38732,# antifa protest # athens year murder pavlos fyssas golden dawn . voter complicit crime . # killahp url,1
46983,"# conservative like old # garbage bag blowing wind , 's old garbage bag ... url",2
22067,# bakersfield need gun control ! sorry victim gunman hope rot hell !,0
79756,# honoursacrificeboycottmatch hope human right rat r happy ! hope sidhu happy ! hope liberal r happy ! let ’ play cricket wth thm let ’ thank thm wht r soldier let ’ celebrate impotence funny piddly little nation like pak taking u ride,1
99563,# confirmkavanaugh  # kavanaugh # scotus # potus # presidenttrump # americafirst # maga # kag anti # trump liberal activist accuser # ford make accusation willing subject b question ? suffer consequence filing false charge # lockherup url,0
23542,"# resist traitor caught video breaking law # communist # socialism way slow # trump agenda . dc chapter democrat socialist america . forget antifa , distraction real resistance . # maga url",1
83416,"# christineblaseyford grinding # kavanaugh party almost yr ago ... ..you got ta love age , ridiculous # metoo movement swear # kavanaugh already get , # liberal anxiety attack like / / url",2
67418,"# corybooker hero , american traitor treated . arrest , prosecute , carry sentence . # kavanaughconfirmation url via @ user",0
58632,round goon bitch kiddin me🤣,0
35612,@ user # morebs = # barrysoetorobullshit,0
96905,"# tytlive omg latino faith based woman think trump christian . wow , poster child immorality hating latino",0
79778,@ user # carrey # pervert !,0
90328,@ user nigga stupid trash dont play play bitch ,0
71350,# nooneaskme 's opinion # offset keeping beef # cardib @ user know cardi slow believe everything says.. meal ticket . think # offset need sit ugly as .,0
43782,# icymi - liberal ' favorite myth obama law professor destroyed ? ! url,0
58287,@ user demonstrate wholly incapable carrying thought logical conclusion ?,0
32061,pet ? ? ? fucking disgusting url,0
63129,# liberalhypocrisy # tacobell liberal ask illegal immigration ? taco bell employee : habla ingles ! '' url,0
74797,# blackinkcrewchi lily ’ hate ... .you hate . worst enemy cause let anger get way legit feel like shes one kid work job,0
25177,# justiceforsoniasfather mr usman buzdar sb ! please respond sonia iqbal daughter pti counsellor okara whose father killed election nawaz league killer . saying commit suicide front medium . justice ?,2
87428,@ user - worst potus . ever !,0
39400,# conservative genetic ability understand # hypocrisy # irony . right wing ideology get ya twisted knot . # onpoli # ontario # partyofyesteryear @ user # fraudnation url,1
88745,# theview # bothamjean n't believe # amyguyger lying po ! live near police station..i hope pray cop n't bust house thinking 's his/hers kill me..my god..we/people color police prey..we 're always police cross-hairs..no matter,0
70443,"# antifa , september : stop fascist nvu # amsterdam ! url",1
90327,’ nyfw cause class act.. getcho wack as outta url,0
65545,# greatestthingsaboutthe liberal ’ unhinged,1
58543,"# conservative mu pray liberal . trooly kno knot watt . brot socialist democrat , wonderful , , ignorant parent . served inda military . learnd serve christ , . eye reel -eyesed conservativism closely aligned w god .",0
79222,"# disarmthem # antifa please one stupid enough . u open carry , u carry concealed . anyone stupid enough , considered act aggression shot also carry one weapon . shoot kill , maim .",1
72401,"@ user * puerto rico destroyed ; , die * trump visit , throw paper roll people * month later , puerto rico still waiting help * trump say everything fine , visit great success 🤔",0
31354,sick as ppl school gave something chug nasty drink go away,2
29008,# conservative # dumberthandogshit central point tweet,2
41590,@ user # rosie make nauseous ! 🤮 url,0
72523,# feminazis liberal # metoo count blame non-liberal man . # bizarro # kag  url,1
14640,"# brexit deal reached - unveiled special summit november , @ user sold # uk eu ? ? ? better @ user finished ! ! @ user url",2
74909,# crazyredhead # angry # orange # cheeto claim # president . never accept . denying life lost puerto rico ? # monster # … url,0
96397,"# europaleague song eu , cash remaining chip p*ss  've played card liberal u.s . brexiteers trump take nice eh life 'll better everyone . url",1
34030,$ phone . fucking dumb .,1
29113,"# kavanaugh moment # blaseyford exposed fraud , expect new accuser surface . liberal one trick pony . # liberalismisamentaldisorder",1
11286,"# bcog @ user cool , confident , cocky , kick as ! ! ! @ user @ user @ user url",0
41821,@ user oh fuck ,0
76379,# liberalhypocrisy # criminal # democrat # evidence # ellison # liberal # hypocrite keith ellison domestic violence accuser say democratic party n't believe story url,1
52080,# democratpartyofdomesticterrorists # fascist # antifa # feminazi n't # walkaway run ! url,1
51762,# auspol n't know still job . seriously . url,0
71592,# maga tell one good thing # trump done # president . dare ! worst president history .,0
78688,"# confirmkavanugh , stall tactic dc crony recourse . delay . # votered end madness # maga",1
76135,@ user @ user @ user @ user beat hell nj lol . dude already made assumption 'm antifa . even ignored evidence make assumption .,0
30778,# stopetchecopar ? fuck  que florezcan mil baby etchecopar ,0
22569,"# antifa mentally unstable coward , pretending relevant . url",1
48938,@ user @ user browning looked like dog shit fcs school . ’ point ?,0
41438,two taste like as . url,1
73439,# despicabledems lie rifle . dem distorted law push gun-control kavanaugh confirmation url via @ user,1
