no,id,tweet,subtask_c
17,40386,@ user @ user @ user @ user ’ many shooting virginia ? jacksonville shooter got gun maryland ! ! among poster child gun control ! good ? ! ’ full crap .,GRP
18,98916,"# antifa bedfellow democratic socialist america ( dsa ) # jamesokeefe exposed inserted throughout government , attempting bring # america # trump # maga🇺🇸 # deepstate url",OTH
19,32190,@ user antifa t level influence . 's scary .,OTH
20,27550,"@ user three account . two quasi-anonymous , one completely anon . twitter ever ban one quasi-anon , 'll make two anon account tweet insane shit . drown twitter bullshit . one banned , 'll make even .",IND
21,24040,# liberal pathetic ! innocent proven guilty mean much ? # democrat look party need rapist hang ! # kavanaughisinnocent # walkawayfromdemocrats . # liberallies straight pitt hell 🔥 url,GRP
22,73516,"$ million reallocated fema ice . guy give zero shit anyone named trump . ’ mid atlantic , get . . url",IND
23,88905,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,IND
24,42112,# sesamestreet # bertandernie conversation unattractive . creator say n't create character gay attacked .,GRP
25,37740,# serenawilliams full ... painful watch listen ...,IND
26,72405,"# colinkapernaeck done nothing sit as complain . ’ time black people die hard white liberal , think cause aka @ user wake heck stfu ! colin civil right hero martyr . near .",IND
27,47445,". jeff session : ‘ listen aclu , antifa , black life matter ’ want chicago shooting . url",OTH
28,27158,amazon ship live christmas tree door — stay put damn light ? url,OTH
29,17183,@ user bet lot safer sex tho ? ’ one kid . cant mom get dicked ?,IND
30,42325,# conservative govt ' @ user made life hell ' : whistleblower say threatened regulator ; thought govt promised protect whistleblower ? url,OTH
31,15180,# fortnitebattleroyale # xboxshare @ user please ban cheating scum . literally invisible url,IND
32,58026,# maga # qanon # greatawakening # inners # wwg wga # nowcomesthepain # walkaway # goodbyedemocrats ellison accuser say 's sidelined party url,IND
33,81352,# boycottnfl . @ user dead . @ user @ user url,IND
34,33133,"@ user # walkawayfromalldemocrats michelle year sure n't need bad advice . new sheriff town , 's # maga . get vote - color , gender ( aka ) american ! ! ! url",IND
35,91036,# blaseyford ’ comical liberal always want way first woman need treated equal come ford testifying say ’ unfair men asking question . dems woman equal receive special treatment ?,GRP
36,22882,"# ted always feel appropriate public behavior . , often , unable control . # gopdysfunction url",IND
37,40842,"@ user stick comedy ... n't funny yo start , political commentary pathetic ! ! !",IND
38,73612,@ user # holder needed impeached,IND
39,15815,# believeallwomen think thing ca n't get dumber.. happens.. liberal probably n't realize child n't equality . treat woman men same.. pretty sure 'll better result culture,GRP
40,24049,# sierraburgessisaloser phone ding 😂,IND
41,79204,@ user # metoo racist !,GRP
42,46229,# gop still acting like wimp are.. ! ? ’ yet realized liberal hate regardless sentiments.. either republican stupid get way ’ tilted far left.. # confirmkavanaughnow,GRP
43,34669,# dregsofsociety ? ? ? # deplorables liberal usually dehumanize want exterminate later url,GRP
44,34575,# emmyawards - rating tank expected . possibly stand watch many liberal one place one time .,GRP
45,20357,@ user # gutierrez always nothing # racebaiter,IND
46,52445,"# elitist # actor # nbc # liberal # dems # hollywood # emmy award 'toothless ' # nbc self-promotion onslaught peppered # metoo crack planned , staged okay # democrat # socialist # liberal # left # walkaway ! url",IND
47,10991,# drford # dearprofessorford fraud female @ user group paid organized # georgesoros url,IND
48,57135,"# bluewave # dumptrump …give love , cooperate/compromise w/ , conservatives/trump supporter constantly vilify marginalized group , constantly attack woman ’ right make choice body , …",GRP
49,72369,# nightmayor 's dt cycle track easily open antifa tennis court inside crescent height able trash nenshi ’ communist vape shop !,IND
50,42192,# arunjaitleystepdown shameless # fm history india audacity shamelessness lie public disgrace post .,GRP
51,43587,# conservative £ bn housing on-trick @ user - crock sh # te '' ! @ user # housingcrisis url,IND
52,41553,# coupdetat # spain # catalona . # spain # fakedemocracy @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user # cddr # shameonspain # wakeupeurope @ user @ user url,GRP
53,62986,"# liberalismisamentaldisorder , also danger country . # liberal showing utterly hateful . care truth , care power .",OTH
54,70051,@ user coranated attack idiot loon ! get worse much worse election ! u imagine idiot want get rid economy along interest rate polished politician ? idiot !,GRP
55,73642,@ user @ user awwww stinking cute ! old ?,IND
56,11645,# jointhefight join fight american communist ... democrat liberal taken crap edge coming back . openly promoting destruction america . # jointhefightagainstcommunism url,GRP
57,72274,@ user @ user stated talk zionist involvement / metaphysical masturbation disinformation agent taking advantage people lesser intellect . ashamed ’ ’ # zionel,OTH
58,21524,"# khaleesi kinda watching # hiac ! wtf think , person ? pffft pathetic url",IND
59,84579,and🤷🏽‍♂️ female b shit url,GRP
60,59519,# declassifydocuments love watching liberal like maria squirm . # outnumbered,GRP
61,51386,"# politicsinfocus look donald ! duck , stop patronizing ! url",IND
62,10918,# carbontax work put ton money back canadian pocket . . @ user . @ user . @ user . @ user part trudeau campaigning national carbon tax . conservative died . want another death ... oblige . url,OTH
63,57541,antonia evans either sex trafficked cremated .,IND
64,25125,# theview stormy trapped dollar bill face poor pornstar worry democratic party leader,IND
65,61295,entertainment agency gon na as . url,OTH
66,53351,"# trump really , everything trump another piece evidence obstruction justice . talking crime machine .",IND
67,25463,"# disarmthem ? go show moronic antifa type , good way encourage dumbass rightfully get speedrocked . open carry user practice weapon retention . gun grab go badly try . get shot , n't . # url",GRP
68,85613,# christinebford # liberalsaredesperate @ user every time liberal n't get way cry racism sexual assault . hard believe,GRP
69,85886,"# cincinnatienquirer step # gun control finally . took # massshhoting damn door step # editor wake , better late never . url",OTH
70,54621,! ! ! ! bitch ’ fucking coming back url,IND
71,80397,# liberal reaching peak desperation call # phillipruddock talk # turnbull convince help # wentworthvotes sept @ user # auspol # lnp # nswpol @ user @ user @ user # lnpmemes url,GRP
72,67926,"# democrat controlled city strict gun control law @ user want blame # gop um , ’ rich # democrat trying keep black poverty ? # walkaway url",GRP
73,41588,@ user got love people making law tend know nothing subject 're making law . hear gun control law people try pas state .,GRP
74,51948,@ user # walkawayfromcatholicism corrupt core become giant autocratic pedophile ring .,OTH
75,28196,"# california patriot ... especially # ca obama/soros attempting take house seat get control congress . say tj cox . shill candidate fronted dastardly duo . please get vote david valadao house , dist ! follow @ user url",IND
76,50376,- take nigga name bio . url,OTH
77,45304,# arrestgeorgesoros fund # domesticterrorists # antifa url,IND
78,27228,# conservative govt run debt spite austerity cut rich doubled wealth . # inequality url via @ user,GRP
79,57326,# crowderconfronts continues expose sjw bully paper tiger conservative fight back truth fact . # dontbeafraid # confrontwithtruth url,OTH
80,88221,# biggbosstelugu many # kaushalarmy cum @ user fan ... url,GRP
81,97610,"@ user @ user @ user okay ? anybody go eredivise score + goal . shit league . bundesliga team competitive euro competition . mexico ’ produced talent like pulisic long time . ’ okay , maybe guy one day .",OTH
82,63048,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,IND
83,30075,# kalyani stupid teenager . totally despise atrocity towards aunty anupriya . blame mom ’ death . stop listen anupriya side story make vile accusation # tujhsehairaabta # zeetvserials,IND
84,60466,"# christian # america – go # trump ’ example , liberal support open border , guess conservative support school shooting . please explain make america great .",GRP
85,25685,@ user @ user @ user disingenuous person senate . senator would hide shame despicable behavior scotus hearing .,IND
86,16333,# democrat # liberal # threatened # armed # nazi talk # disarmament # disconnection # military # lifestyle ? # broadcast # armory # killskills # rightfuckingnow url,GRP
87,78417,". wanted tell hang . think ’ fun ! also , lmao dick tongue ? people easily suck . haha kidding aside , aint want tongue dick look hella weird.. choice weird whatever",IND
88,51525,# avalanche 'm sorry ! see ! love ! asshole ! know # maga,IND
89,84550,# ff @ user alien future 🙌🏻👽🌃 url,GRP
90,23530,"# familiarwife jh-omg , crazy wj-wait ! ... .yes , interested assistant manager cha bh-you guy look like good pair vo-are '' ? sit jh-do n't ! wj-lets live life . let news-collision hwy , congestion jh-woo-jin~ url",IND
91,57284,"# thingsdarthvaderwouldneversay yup , white mask privilege 's finest . always trying keep black mask # blacklivesmatter # qanon # antifa # alexjones # infowars # starwars # maytheforcebewithyou # thirdshiftzombies # podcast # radio # whitesupremacy url",GRP
92,59700,’ saying cool feel type way me.. speak fuck .,IND
93,13433,# cuckservative traitor worse fortnite player url # conservative # triggerwarningradio,GRP
94,80197,"# barbara boxer liberal want use rape political tactic ! better hard evidence ! word n't evidence ! ! ! called hearsay . note , could say ' ' cornered bathroom , put hand ' year ago . prove wrong url",IND
95,79309,# constitutionday 's odd alt right conservative say ruining constitution want # guncontrolnow one ruining constitution getting upset foreigner coming land white wanting live,GRP
96,47696,# liberallogic # kavanaugh look predatory . therefore 's guilty . # liberal dangerous people govern anyone anything . url,GRP
97,55633,"# orrinhatch ’ believe sexist , clueless , old fart get weigh another woman ’ charge supreme court nominee . spouting old nasty shit spewed + year ago anita hill . time ’ ! good riddance neanderthal !",IND
98,87934,". ( part ) n't think hard come gabriel . 're lizard themed , glitter bombing , antifa mech pilot using superhero power take corrupt logging company . 're buff lesbian heart uniform . literally 's love ?",GRP
99,27455,"# liberal / # democrat stand . , # walkaway url",GRP
100,83466,# beeto demonstrated lose election # texas url # maga @ user # rkba @ user # dvc,IND
101,48657,bitch thinking nigga money tf ’ .,GRP
102,86611,"# dems disgusting . believe woman accuse conservative abuse crime . liberal accused , ignore accusation . url",GRP
103,12193,# christineblaseyford harassed member antifa radical arm democratic party funded george soros . # voteredtosaveamerica,GRP
104,63985,cent call joe budden 's bullshit '' instagram url url,IND
105,20522,"# bb actually question people want jc win angela ? way meaner , say n word repeatly , make fun eating disorder , sexually harasses houseguests.she much underdog win dont use excuse . # bb # tangela",IND
106,70324,alright let get right god bc mother nature like fuck human url,GRP
107,89329,# hillary @ least # angrydemocrats # worldwarq # wwg wga # maga # redtsunami # americafirst # walkaway # truth url,OTH
108,11100,# antifa recruiting designated # terrorist organization url,OTH
109,83240,# hypocrite # democratshateamerica # liberalismisamentaldisorder everything liberal touch turn absolute shit ... url,GRP
110,81890,@ user @ user said medium money soros dip shit water creating civil war .,IND
111,72037,# texas ted cruz campaign sending people solicitation disguised official looking county summons . elderly resident confused notice appear . skeezy . url,IND
112,94607,anyone find m*neta 's behavior funny fuck die,GRP
113,72531,# goodmorningamerica # tuesdaymotivation # thankyou # fathergod # americanpeople begin see # truth # governmentcorruption @ user @ user @ user # mediacorruption # noredaction # declassifyfisa # declassification completely # obama # hillaryclinton # lie # leaker # liberal url,OTH
114,98575,"@ user difference stated , inane asinine comment solidified bring fact truth , lie bullshit . present single shred credible evidence support single thing 've said . lie 've got .",IND
115,58342,@ user damn felt shit . loud lol,IND
116,39429,# msnbc # hardball @ user bingo absolutely correct bring president obama . ’ get president obama humiliated white house correspondent dinner guarantee definite driver hate president obama,IND
117,18786,# cnnisfakenews @ user @ user wonder rating suck ... # cnnisajoke # fakenews # maga url,OTH
118,67049,# joescarborough vile excuse journalist '' . criticizing # trump yet refuse come clean death intern office . stop talking everyone else start talking involvement # loriklausutis . @ user,IND
119,98216,"dreg society '' ... labelingand dehumanizing conservatives.i suggest , , conservative keep ammo dry gun loaded..if fascist liberal left think conservative go quietly internment camp slaughtered street need reality check . url",OTH
120,37649,# feinstein cant say anything truthful . loers liar . url,IND
121,59751,# nigeria # naija # ja 'you incompetent leader nigeria ’ history ' – atiku blast buhari url championnewsng via url,IND
122,92215,"# emmy well , ex-crackheads liberal democrat ; ...",GRP
123,22311,@ user # diversity work joining new group want part team . # islam hate every non-muslim # fail # unicorn,GRP
124,75125,// want kick twitterfuck as .,OTH
125,21354,"# faileddemfeinstein quit decade ago . disgrace . feinstein blame gop kavanaugh accuser stay mum , admits ' ca n't say everything 's truthful ' url",IND
126,22594,@ user @ user @ user fascism also liberal antifa according meme .,GRP
127,33394,". grown as woman , probably year older currently spreading rumor rather talking , nice work got satan ❤️",IND
128,56513,# conservative ’ care post..it ’ @ user propaganda.. url,OTH
129,59691,# idiot nothing beneath ? lol . fool liberal ! # maga # kag 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸 url,GRP
130,41997,@ user kindest explanation tone-deaf . 's hard feel kind ilk repeatedly .,IND
131,56637,"# amazonpets etta tricky photograph colouring , beautiful know . charge , first dibs treat , shout attention whenever come house . kill wild rabbit hang hutch . url",IND
132,97410,# geoffreyowens nigga ’ really understand ... level career pursuit,IND
133,77746,"... death _metal_ ? want death metal ... tell , hateful keebler elf , death metal ? ? ? ? url",IND
134,17704,"# kavanaugh disciple anthony kennedy , 🎁ed liberal w/ unconstitutional opinion ! 's trump 's con con conservative 🤔ing # scotus moving right ! @ user smart , 'd everything get bk 🏁 . wo n't ! idiot ! # tuesdaythoughts url",GRP
135,61674,# america ... tear # wall ! url # tcot # partisanship # trump # thewall # borderwall # liberty # civilsociety # think # conservative # democrat # progressive # liberal # independent # libertarian # gop # dnc # criticalthinking,GRP
136,39860,dickhead ? ? ? ? probably yes,IND
137,79934,@ user 'cause everyone know real leader fall van like sack potato ... ..,IND
138,55048,# boycottnike campaign must continue grow paying overseas staff $ . hour okay staff '' . exploiting poor women/men world . american stand . url,OTH
139,76833,"# news jeff session : want death , 'listen aclu , antifa , black life matter ' '' url # cnbc ''",OTH
140,55832,# david # miliband # davidmiliband flew away # newyork # u # liberal # democrat - flee # corbynists hatred jew,GRP
141,32056,anyway game suck : ),OTH
142,67841,# ibelieveblaseyford liar fat ugly libreal # snowflake sold get cash ! ! dems iran ! spoke # johnkerryiranmeeting ?,IND
143,94427,# conservative represent canadian . authoritarian scum . # cdnpoli # onpoli url,OTH
144,96594,# ford 's attorney say 's receiving death threat move family safety '' . 's proof # democrat # antifa promote circus ? '',GRP
145,62689,# scottgimple ruined # thewalkingdead # feartwd . hope check cash forever never get another job . # amc,IND
146,35968,another season tom brady give nigga,GRP
147,14516,# lifeisbutepu black say word nigga '' . feel nigga ? ? ? url,GRP
148,15866,# austerity low pay # tuitionfees lack housing wage falling # universalcredit unaffordable rent # nh crisis crap railway empty shop # brexit deal exit eu # windrush # grenfell short year @ user completely fucked uk,IND
149,57185,"@ user # thosethataretheloudest afraid , justice coming # bono scam like # clintonfoundation # pedowood # haiti url",GRP
150,91430,"day bbc radio ’ festival day , decide tell u headline act ’ coming anymore . thanks lot , ’ paid fortune see tonne act shit interest 😑👍🏻",OTH
151,29203,# tytlive trump need go danger country world . way get rid good,IND
152,27913,"@ user # davidhogg , 're nobody .",IND
153,46410,"# desantis=deracist , bad choice , “ distanced ” prez ’ comment today questioning death puerto rico hurricane maria @ user @ user # whataputz",IND
154,16856,@ user @ user 'll use one next time im gun control debate debate free speech tax . yes choose irresponsible choose . argue responsible . whats wrong ? n't justify murder saying never alive right .,GRP
155,89200,@ user @ user hell think ?,IND
156,45269,# liberalismisamentaldisorder # hypocrite # democratshateamerica # democratsaredangerous everything liberal touch turn absolute shit . url,GRP
157,15437,% nigga podcasts youtube channel dedicated shit ’ getting solved url,GRP
158,91472,anytime randomly bust laughing ’ remembered dumb shit albria said 😭😭,IND
159,98531,@ user @ user 😂 like jewish people claim holding money . sound familiar ? left wing libtard family family kkk . hate jew ? ’ funny . gun control ; even funnier . good luck,GRP
160,98685,# liberal always dirty trick get way . 👇👇 url,GRP
161,31665,# conservative upset # bertenernie # gay # sexualpredator @ user hooker @ user # rapist # supremecourtjustice,GRP
162,38732,# antifa protest # athens year murder pavlos fyssas golden dawn . voter complicit crime . # killahp url,GRP
163,46983,"# conservative like old # garbage bag blowing wind , 's old garbage bag ... url",OTH
164,22067,# bakersfield need gun control ! sorry victim gunman hope rot hell !,IND
165,79756,# honoursacrificeboycottmatch hope human right rat r happy ! hope sidhu happy ! hope liberal r happy ! let ’ play cricket wth thm let ’ thank thm wht r soldier let ’ celebrate impotence funny piddly little nation like pak taking u ride,GRP
166,99563,# confirmkavanaugh ✅ # kavanaugh # scotus # potus # presidenttrump # americafirst # maga # kag 🚫anti # trump liberal activist accuser # ford make accusation willing subject b question ? suffer consequence filing false charge # lockherup url,IND
167,23542,"# resist traitor caught video breaking law # communist # socialism way slow # trump agenda . dc chapter democrat socialist america . forget antifa , distraction real resistance . # maga url",GRP
168,83416,"# christineblaseyford grinding # kavanaugh party almost yr ago ... ..you got ta love age , ridiculous # metoo movement swear # kavanaugh already get , # liberal anxiety attack like / / url",OTH
169,67418,"# corybooker hero , american traitor treated . arrest , prosecute , carry sentence . # kavanaughconfirmation url via @ user",IND
170,58632,round goon bitch kiddin me🤣,IND
171,35612,@ user # morebs = # barrysoetorobullshit,IND
172,96905,"# tytlive omg latino faith based woman think trump christian . wow , poster child immorality hating latino",IND
173,79778,@ user # carrey # pervert !,IND
174,90328,@ user nigga stupid trash dont play play bitch 😂,IND
175,71350,# nooneaskme 's opinion # offset keeping beef # cardib @ user know cardi slow believe everything says.. meal ticket . think # offset need sit ugly as .,IND
176,43782,# icymi - liberal ' favorite myth obama law professor destroyed ? ! url,IND
177,58287,@ user demonstrate wholly incapable carrying thought logical conclusion ?,IND
178,32061,pet ? ? ? fucking disgusting url,IND
179,63129,# liberalhypocrisy # tacobell liberal ask illegal immigration ? taco bell employee : habla ingles ! '' url,IND
180,74797,# blackinkcrewchi lily ’ hate ... .you hate . worst enemy cause let anger get way legit feel like shes one kid work job,IND
181,25177,# justiceforsoniasfather mr usman buzdar sb ! please respond sonia iqbal daughter pti counsellor okara whose father killed election nawaz league killer . saying commit suicide front medium . justice ?,OTH
182,87428,@ user - worst potus . ever !,IND
183,39400,# conservative have no genetic ability to understand # hypocrisy or # irony . right wing ideology get ya all twisted in knot . # onpoli # ontario # partyofyesteryear @ user # fraudnation url,GRP
184,88745,# theview # bothamjean i do n't believe # amyguyger she is a lying po ! i live near a police station..i hope and pray a cop doe n't bust up in my house thinking it 's his/hers and kill me..my god..we/people of color are police prey..we 're always in police cross-hairs..no matter what,IND
185,70443,"# antifa , september : stop the fascist nvu in # amsterdam ! url",GRP
186,90327,and that ’ s why you were at nyfw cause your such a class act.. getcho wack as outta here url,IND
187,65545,# greatestthingsaboutthe s liberal weren ’ t unhinged,GRP
188,58543,"# conservative we mu pray for liberal . they trooly kno knot watt they do . i wa brot up socialist democrat , by my wonderful , but , ignorant parent . i served inda military . i learnd i can serve christ , too . eye reel -eyesed conservativism wa more closely aligned w god .",IND
189,79222,"# disarmthem # antifa please no one be stupid enough to do this . most of u do not open carry , most of u carry concealed . anyone stupid enough to do this , that is considered an act of aggression and you will be shot we also carry more than one weapon . we shoot to kill , not maim .",GRP
190,72401,"@ user * puerto rico is destroyed ; more than , die * trump visit , and throw paper roll at people * month later , puerto rico is still waiting for help * trump say everything is fine , and his visit wa a great success 🤔",IND
191,31354,all these sick as ppl from school gave me something and now i have to chug down this nasty drink so it can go away🙃,OTH
192,29008,# conservative are # dumberthandogshit is the central point of my tweet,OTH
193,41590,@ user # rosie make me nauseous ! 🤮 url,IND
194,72523,# feminazis are liberal so # metoo only count when they blame a non-liberal man . # bizarro # kag ❤️🇺🇸 url,GRP
195,14640,"# brexit deal ha been reached - and will be unveiled at special summit in november , ha @ user sold out the # uk to the eu ? ? ? she better have not or the @ user are finished ! ! @ user url",OTH
196,74909,# crazyredhead in very # angry at the # orange # cheeto who claim to be our # president . she will never accept it . denying all the life lost in puerto rico ? he is a # monster # … url,IND
197,96397,"# europaleague song the eu , cash your remaining chip in and p*ss off 👍 you 've played all your card and liberal in the u.s too . brexiteers and trump take it all so be nice eh and life 'll be better for everyone . url",GRP
198,34030,$ for a phone . you all are fucking dumb .,GRP
199,29113,"# kavanaugh the moment # blaseyford is exposed a a fraud , expect a new accuser to surface . liberal are a one trick pony . # liberalismisamentaldisorder",GRP
200,11286,"# bcog @ user she is cool , confident , cocky , and she kick as ! ! ! @ user @ user @ user url",IND
201,41821,@ user oh fuck off 😂😂,IND
202,76379,# liberalhypocrisy # criminal # democrat # evidence # ellison # liberal # hypocrite keith ellison domestic violence accuser say democratic party doe n't believe her story url,GRP
203,52080,# democratpartyofdomesticterrorists # fascist # antifa # feminazi do n't just # walkaway run ! url,GRP
204,51762,# auspol i do n't know why he is still in his job . seriously . url,IND
205,71592,# maga tell me one good thing # trump ha done a # president . i dare you ! he is the worst president in history .,IND
206,78688,"# confirmkavanugh now , stall tactic are dc crony only recourse . no more delay . # votered to end this madness and to # maga",GRP
207,76135,@ user @ user @ user @ user beat the hell nj out of me lol . dude already made the assumption that i 'm antifa . he even ignored all the evidence to make that assumption .,IND
208,30778,# stopetchecopar ? fuck you all 🖕🖕🖕🖕🖕 que florezcan mil baby etchecopar 🌻🌻🌻,IND
209,22569,"# antifa are mentally unstable coward , pretending to be relevant . url",GRP
210,48938,@ user @ user and browning looked like dog shit against the same fcs school . what ’ s your point ?,IND
211,41438,all two of them taste like as . url,GRP
212,73439,# despicabledems lie again about rifle . dem distorted the law to push gun-control at kavanaugh confirmation url via @ user,GRP
