id,tweet,subtask_a,subtask_b,subtask_c
82904,@ user @ user da fuck going people ? 's men 's room woman 's room pick one stick w 🤔,1,1,1
63236,@ user willie fan since born ... .love holding rally beto ... . exactly fan furious ? could give specific ? url,0,,
77665,@ user tbh day n't like people general n't connect people day annoyance..,1,1,0
83484,south korean official : “ leader discus specific denuke measure pyongyang ” '' url # tcot # maga # rednationrising '',0,,
74932,@ user @ user tell hooper,0,,
91252,@ user feel like better chasing title,0,,
25440,@ user @ user @ user ? referring ? hillary ? know tiresome ? bernie supporter bashing hillary clinton . actual democrat raise money democratic party ’ bash . positive message . dividing left ?,1,0,
81613,@ user glad see friend supporting metis right much supporting zionist . url,0,,
82333,@ user yes asking movie ? 🤷‍,0,,
12609,thing democrat lying stalling stop trump # president . done lately . # trump # kavanaugh # maga # demsuck,1,1,1
13017,@ user wonder apologetic social day ... .,0,,
18129,@ user @ user @ user update ending blatant # racism # windrush & amp ; # grenfell prof @ user @ user # alloutpolitics # politicslive # pmqs @ user url,0,,
70380,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user know ’ going happen ? ’ going lay bed cry listen kelly clarkson . thanks free speech antifa .,0,,
12108,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user smart ? think gen flynn ’ sentencing keep rescheduled ? url,1,1,0
14726,@ user @ user @ user 's expected placate violent leftists/terrorists . # kavanaughconfirmation # woke,1,1,1
74358,@ user blow hard,0,,
82599,@ user @ user @ user mean max lvl . twitter user maybe try new game,0,,
40212,"@ user @ user please explain controlled opposition '' mean . bernier escaping , split rest conservative 's even racist exclusionary want . ''",0,,
78367,@ user @ user @ user @ user @ user socialist politics stand downtrodden . well done conflating criticism israel anti semitism . also part problem .,0,,
66596,. nina one reason n't read book long worried character . 've trusted everyone . nina goddamn goddess would die thousand time . big bold lovely perfect . arc . . perfect .,0,,
70999,. @ user @ user @ user @ user @ user please vote kavanaugh . fit scotus allegation woman shady financials disqualify . # ruleoflaw matter . # metoo # countryoverparty # withdrawkavanaugh # stopkavanaugh,0,,
36026,@ user @ user ppl say 'm racist '' racist . racist . repeat '',0,,
29439,@ user kathy patriot love great president trump ! ! ! spine u.s . steel ! ! changing ! trade & amp ; everything american ! ! # americafirst # usa # maga # leadership & amp ; # respect # economy # job # peacethrustrength # god # bless # trump & amp ; # theusa   ,0,,
74477,@ user wow liberal really ’ sense humor.,0,,
49845,@ user 'm fucking ready,0,,
32305,@ user holy moly ! ! catholic people n't awakened ... .. # falseprophet # lunatic,0,,
77243,@ user lol yeah per dina everyday per claudia horse got vet care unless donation example limping etc,0,,
73205,@ user @ user @ user surprise ... . antifa . blm . soros america worst enemy history . belief way take usa withing . he right . 's gunna happen .,0,,
47311,@ user ! wedding best ! pretty !,0,,
48553,@ user @ user conflict here—don ’ look . # soros involved violent left agenda antifa also .,0,,
75689,@ user @ user @ user url announcement every come fruition basically stealing labour 's idea get vote,0,,
84102,british people basically full-on racist . voter vote conservative . coincidence ! ? ? ? ! ? ? ?,1,1,1
10607,# guncontrol advocate must stop falling assure electorate love horrific url,0,,
43913,@ user @ user hi ! love huge fan camila mendes ! would alright used tweet promotional material ?,0,,
98992,@ user fuck,1,1,0
92056,@ user certainly weird view toward margaret sanger geonicidal philosophy aborting minority . ’ like know black population suffers share opinion,0,,
33853,@ user @ user prison system fucked . still getting away potentially murder intent prisoner die hurricane ? louisiana like inmate went missing '' '',1,1,2
75215,@ user @ user useless . attempt right thing never follows .,1,1,0
96218,# walkaway liberal ... ... party poison . url,0,,
57013,@ user grateful trump ’ dog white house . cruel man .,1,1,0
20883,@ user lying . stick fact . pay .,0,,
74831,@ user trump kick dem butt - fun .,1,1,0
53264,@ user @ user @ user dumb dumber one president . 's two one .,1,1,0
28204,# toxictory minister @ user attempted expense £ charity donation ! 's @ user ! ! @ user # toriesmustgo # dissolvetheunion url,0,,
42024,@ user ur straight forword man saw u dance dewwane ur talk free ky ap kitnay porrany ho industry mein really like ur quality u even gather ur senior artist love # manmarziyaan 🤠,0,,
84664,@ user clown prison ?,1,1,0
54842,@ user @ user @ user @ user twitter silence alex jones retaliation asking twitter jack question @ user @ user @ user @ user url,0,,
48995,@ user thats old man .,1,1,0
47153,@ user @ user @ user obstructionist . anti-american . pharisee . ask running get nothing . maga !,1,1,2
76826,@ user @ user 're not..you 're represent alinskyite orwellian leftist tool & amp ; fool view things..like . % marxist & amp ; antifa similar u..psst ! b u use word fascist fascism go ahead & amp ; read d'souza 's book big lie '' ..right u know squat either.. '',0,,
27645,@ user remember . : ( somehow centrist '' antifa-haters never quite seem bring condemn thing . '',0,,
64429,@ user mean worked gun control right ? url,1,1,1
20943,@ user think last thing wh trump 's mind april ryan . need stop flattering . 's important think .,0,,
78064,@ user principled conservative # hypocrickets,0,,
14122,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user n't forget @ user & amp ; democrat backed # antifa,0,,
72353,@ user beautiful person teach value kid . teaching royalty keep keep going head . stay real ,0,,
39051,@ user bring antifa criminal son campaign,0,,
54546,@ user @ user ’ watch watch @ user watching september th story came together stood shoulder shoulder made proud even issue yet people playing damn game stand moment—protest saturday .,0,,
50759,tear made % water % feeling .,0,,
75992,@ user @ user trump address gun control representing nra . let '' say . url,0,,
45068,@ user drinking much koolaid ’ bloated .,1,1,0
17259,@ user holder need prosecuted,0,,
95225,@ user ... ... player woman . woman color !,0,,
84667,@ user @ user @ user @ user institution let tweet behaves . window licker ! ! ! !,1,1,0
14574,*babysitting kids* people : ” old think ? ” “ three kid ” : *dont get mad . ’ get mad . ’ know . ’ know*,0,,
23784,@ user well ... ? url,0,,
93119,wtc threat ! ! ! .. @ user # maga # qanon # wakeupamerica url,1,1,0
30115,@ user 's easily digestible content . 's need nuance even understand story . show picture antifa '' get base level emotional response content requires order profitable . '',0,,
69281,@ user @ user try looking plain old democrat . liberal one ’ conversation .,0,,
15322,@ user great news ! old moonbeam went coma ! ,0,,
75089,@ user omg extra ily,0,,
21379,@ user @ user @ user please call trump ... narcissistic sociopath !,1,1,0
43133,@ user @ user unfortunately america system like would called racist . liberal believe exam racist minority group .,0,,
52102,@ user know ! still alive ... .but wondering career railroaded ? odd ! loved ... especially day !,0,,
59537,@ user @ user guy always present ... bet ? lol,0,,
44209,@ user @ user baby ! url,0,,
96664,@ user persuasive fam,0,,
12559,@ user 's nothing new going vote anyway ... ..we vote liberal november ... . url,0,,
61914,@ user burt . cool dude .,0,,
32317,# maga ! # trump follow follow back .,0,,
94767,@ user thank u ! ! ’ finally point ’ okay using heat ’ happy,0,,
64835,@ user kind like trump time huh ?,0,,
41353,@ user former antifa white house arrest citizen arrest someone explain .,0,,
52252,@ user fuck em,1,1,1
91001,@ user good move ... .he big loser,1,1,0
18495,@ user let 's get bottom ! dm zipcode 'll check . back make sure enjoying best tv offer asap ! *nevinbruce,0,,
76680,@ user @ user @ user @ user record know doug jones personally sen. bc credible choice . ’ next election .,0,,
88013,@ user president ’ feeling totally opposite cnn ’ feeling . say cnn ? ’ liberal .,0,,
66349,"@ user 's literally narrative par nazi punch , antifa punch , two side coin . '' noooooooo one group want exterminate deport poc jew , want prevent , comparison benefit fash ''",1,0,
80561,@ user @ user many dumb argument gun control may dumbest common .,1,1,0
16052,@ user idk 's going,0,,
49996,@ user @ user yall need chill really abysmal nd half . rizzo abysmal st half . baseball happens . thing still need work yes . power number dropped yes ... .. could bounce back anytime . url,0,,
77086,@ user dude old ! ! ! lmao . p : go pack go ! ! !,0,,
10972,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user 's trump supporter ca n't even wear hat without abused . meet animal left attack . antifa branch communist-socialist-nazis democrat party .,0,,
69160,@ user laugh ’ gotten enough . ,0,,
28380,@ user @ user @ user well ?,0,,
40252,@ user @ user @ user first all— ’ even pizza panera,0,,
39907,@ user @ user @ user please n't kill . antifa hand ...,1,1,0
16164,@ user see shanahan say spoon % healthy game ? obviously excuse ’ maybe ’ “ doom ” sort thing seemed game . maybe still pretty good .,0,,
52824,@ user good girl @ user,0,,
77294,@ user @ user ugly black hearted troll url,1,1,0
13420,@ user @ user @ user clearly pokemon master ! almost rare candy alone . legacy moveset pokemon . depends like keep collection piece value game .,0,,
16940,@ user dont believe hype .,1,0,
83816,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user followed new - maga . please follow back .,0,,
99156,# protest reported # sunderland except # football fan one # flag say # westbrom ? ! getting worse even type ? ! # maga # mega # mbga # mcga # conservative # patriot # muslim # farleft # leftist ( doomed lose realises ) # civilwar soon ? url,0,,
11255,@ user liberal would still vote . 'll claim comment taken context still man integrity . '' '',0,,
28841,@ user @ user saved ! maga !,1,1,0
79060,@ user bringing honor decency ? yoyo picture ? 's rich .,0,,
71682,@ user good riddance .,0,,
17577,@ user goddess,0,,
27503,"@ user omg xd worst ( best , case best cuase made laught ) part asking dead ? hurt ? poor thing ... '' rest standin like `` ... .nope suffering '' `` dead ! '' `` ... yeah , pretty dead '' ''",0,,
59998,@ user probably imagine sjw snowflake n't feel safe '' working might conservative lurking shadow . conservative ruskies st century . '',1,1,0
81119,@ user @ user see may light . even last election conservative . split coming tory partyvery soon !,0,,
28812,@ user get  damn hater deleting ig reason ... url,1,1,1
84131,@ user think canadian liberal actually blame trudeau cost ? per standard push u ?,0,,
23179,@ user warned everyone josh gordon last month daily basis . 'm sure shocked transpired today .,0,,
28601,@ user @ user @ user ca n't liberal read ? ? ? ? ? ? read url,0,,
64776,@ user sjshsj thats job bitch,1,1,0
95712,@ user discus haiti ?,0,,
69972,@ user @ user @ user part collusion n't get ? ? ? dumocrat,1,1,0
37115,@ user skilled,0,,
80696,@ user amazing ,0,,
68163,@ user fist pump troop .,0,,
96789,"@ user reason farakans illegal value black muslim , would reason detest . believe illegal value simply result bad character , like supporter ! ''",1,1,1
68629,@ user let leftist democrat riot street antifa counterpart .,1,1,0
66109,@ user thought canada strict gun control . help understand happening .,0,,
19419,@ user ’ want following people ’ like conservative ! sickening biased twitter ’ management . # twitterleftbias,0,,
32942,@ user life tho,0,,
74285,@ user 's important midterm get word # democrat want people color believe support - know false . word spread even need know ? # maga # naacp,0,,
77319,@ user @ user antifa giving death threat professor ford threatening violence candidate loses spanky impeached .,1,1,0
30517,@ user @ user @ user seen listened antifa pal ?,0,,
69077,@ user @ user case antifa take little bat something . good you- kind thing .,0,,
67758,@ user title scare little bit . ; - ),0,,
35944,@ user & gt ; eradicating hiv malaria middle africa good bloody luck,0,,
48223,@ user @ user interaction tory volunteer fcp volunteer witnessed today one demanding float moved back parade . # ableg # cdnpoli,0,,
47168,@ user seems getting thing done .,0,,
53947,added video @ user playlist url combat mon frere v ismael et maga assassin v david le boxer ( yfc ),0,,
49504,@ user law changed ... make allegation day guilty proven innocent . liberal mentally ill !,1,1,1
66291,@ user straight different . thank joe biden one . also wonder outcome name antifa hill .,0,,
31229,@ user game suck donkey ball,1,1,1
75850,@ user yo real gorgeous,0,,
88546,@ user absolutely nail coffin ... . hilliary,1,1,0
29241,@ user @ user hope get twitter tell amazing . ,0,,
19842,@ user “ ” gun control tried proven failure . people ’ vote democrat . refuse admit reality . gun control ’ work .,0,,
69232,@ user overwhelming liberal populated state make policy rest america clue . california biggest population mean u.s. share value . get clue hillary .,0,,
36471,@ user @ user n't partly fund antifa ?,0,,
32897,@ user dumbass ! ! ! ! !,1,1,0
62072,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user ... # levistrauss wanting gun control many u wonder heck want freedom taken away ~ selective freedom ? url,1,1,1
95444,@ user point time ... n't think pres . trump give sh*t ... neither ! lol url,1,1,0
51172,@ user @ user o.k . conservative get poll . vote red .,0,,
62481,@ user donnie jr. family owe country apology taking criminal activity white house lining pocket father unfit making mockery republic . shame family . justice prevail,1,1,0
71895,"harvard/harris poll conducted year found percent black american said would like see one , legal immigrant brought u.s. year . '' url # maga # tcot ''",0,,
78366,@ user doubt @ user officially become national socialist american worker party gone . ppl like @ user @ user acting der sturmer # antifa einsatzgruppen/waffen s detachment .,0,,
39021,@ user oh carmen . fricking cute,1,1,0
68840,@ user chelsea crazy mother,1,1,0
96837,@ user 's time # conservative # binnedboris sent 'lyin lynton back australia .,0,,
51815,@ user @ user @ user manifesto promised vote back . ? think brexit would gone brit eu allowed vote ? referendum gerrymandered .,0,,
62023,"@ user metoo movement must extension antifa complete joke ! movement n't selective , joe biden would court fonding girl camera '' ! url",0,,
10253,@ user @ user awesome ! thank . give humanity hope !,0,,
21367,@ user goober,0,,
33797,@ user another uninformed,0,,
11160,@ user forgot foster child !,0,,
32916,@ user brainless # dems want u believe n't majority . liberal like leader '' corrupts # obama # crookedhillary real bad loser # maga # trump '',1,1,1
47427,@ user fucking way said !,0,,
87052,@ user @ user supposedly smart people n't think one moment audience people voted trump scared shitless hearing top brass speak way .,0,,
29556,@ user 'm surprised . take sick woman make type accusation . kind find far left . liberal praying really weak member gop like collins flake pull back support .,0,,
18547,@ user @ user california gun control direct result white people scared black panther using right bear arm . nra problem gun control !,1,1,1
32688,@ user @ user @ user @ user @ user @ user @ user @ user @ user oct brazil citizen overwhelming voted “ ” government implementing strict gun control factor . % brazilian government still violates referendum everyday brazilian murdered w/zero effective method self defense,0,,
57850,"... claim without sin , deceive truth u . confess sin , faithful forgive u sin purify u unrighteousness . ( john : - ) ''",0,,
82607,@ user @ user yet million permit holding people carried legally concealed firearm day ’ hurt anyone else . yet want stronger gun control . idiot ! 🤨 wonderful medium hype incident fit agenda .,1,1,1
82339,@ user yes hurt self gun control freak .,1,1,1
98077,@ user @ user @ user @ user @ user get like guy every hysterical tweet url,0,,
62815,@ user always show dedication wonder best url,0,,
34510,@ user @ user @ user bullshit ! regulation good keep conservative striping land abyss,1,1,1
53501,@ user owner culo,1,1,0
69928,scarred life lol # maga url,1,1,0
31853,@ user fucking -,1,1,0
13872,confirm man ! left wing activist liar 's story change ! hard evidence ! # christineblaseyford innocent proven guilty ! # confirmkavanaugh # maga @ user # weakrinos # republican,1,1,1
30791,@ user reagan also signed first gun control bill governor ca,0,,
80385,@ user awe hogwash really need overstate obvious ?,0,,
54292,+ year judge ... extensive background ... peep ... link trump ... boom ... conservative rape liberal ? ? ? url,0,,
28985,'m assuming 'm going get answer ' : brainless # liberal stooge ocasio-cortez . @ user $ policy plan url # wakeupamerica america 's future vote republican surrender america # dem moron @ user # maga,1,1,2
52375,( ) man seriously need mental health treatment firearm confiscated longer danger others . ( ) 'm waiting gun control advocate add list school shooting . '' ( ) buy . caliber handgun ? ? url,0,,
74004,@ user @ user leftist showing yet vile,1,1,1
70838,@ user drunk crazy man .,1,1,0
64577,@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user honored included fine patriot ! thank rena ! # maga  dean ! @ user url,0,,
44448,@ user please shut ontario seeing conservative stand @ user helping loose province never going anywhere.. way completely tune canadian mr. harper oops mean mr. scheer common mistake much alike .,0,,
53928,@ user alone . sexually assaulted fellow law student . never reported n't think would believed . however something happened made realize n't victim . felt 'd made colossal mistake .,0,,
45337,@ user liberal .,0,,
85707,@ user another terrorist attack reported msm,0,,
63292,@ user dont know imma url,0,,
15991,@ user money n't made u smarter .,1,1,0
25009,@ user yes ! ! gilmer ! ! make laugh much !,0,,
90990,@ user u r lifeline @ user,0,,
65785,@ user always thought h ford level headed guy ! guess ! note ford : climate change summer-fall- winter-spring ! ! happens every year ! get !,0,,
38837,@ user yeah need made bullshit protestors antifa lol time epic beatdown,1,0,
94182,@ user @ user unfortunately 're right . keep real . assault weapon !,0,,
77653,@ user real rocky  oh god ! !,0,,
27238,@ user thank everyone making possible amazing beautiful bear . 'm member oliver army appreciate everything make life better .,0,,
12892,@ user “ yeah got everything sorted needed sorted ” still taking small sip wine unusual emily guessed jj ’ profile,0,,
16885,@ user way ’ move haiti ? liberal seem make shit hole large city . go somewhere ’ already shit hole ’ work !,1,1,1
46581,@ user yes,0,,
41517,@ user @ user @ user tried went nowhere . 's % pro gun control . done .,0,,
22717,@ user @ user @ user @ user @ user could killed many hunting rifle time vantage . close hour police entered room . actual shooting min . making gun control going get people killed . need smarter .,0,,
88539,"@ user @ user aha yes , see . individual sense needing belong winning team '' constant conditioning self-devaluation . see strong sense q side left/hillary/antifa side well regardless think 're winning . ''",0,,
65786,@ user @ user oh know n't know talking n't see tweet repling lol,0,,
54437,@ user another demonstration gun free zone ’ work . brought liberal likely support stricter gun control .,0,,
19514,n't pussy grabbing @ user one wearing glove handling food ? # maga url,1,1,0
57943,@ user plan environment . even conservative able understand able live planet make money .,0,,
66328,@ user @ user happens tell white liberal n't get congratulate woke put money mouth . simple fact life break brain .,0,,
34317,"@ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user @ user antifa n't beat facsists try get change mind - know 's lost cause try change fascist 's mind . scare hiding , demoralize , stop spread hateful ideology . forcing view others '' . ''",1,1,0
44837,@ user @ user soros root everything anything anti american . money hollywood way islam antifa illegals . url,0,,
36289,# firemorningjoe cut cloth conservative . misogyny bigotry always display . responsible trump . url,1,1,1
80570,@ user @ user truly got idiotic thing 've ever seen .,1,0,
43185,@ user @ user brigitte gabriel experienced life would nightmare . sounding alarm american . buy book pay attention warning america,0,,
86477,@ user @ user @ user @ user @ user @ user @ user @ user @ user work . want control population . australian gun control effect homicide .,1,1,2
67080,@ user @ user poor baby .,0,,
96270,@ user @ user @ user @ user antifa = democrat = dixiecrats = kkk url url,0,,
44015,@ user @ user liberal ruin everything !,1,1,1
48060,@ user @ user @ user n't forget telling primarily black liberal audience conservative want put back chain '' '',0,,
31065,@ user sad ! ! ! exploited also reputation destroyed ! ’ read ’ part antifa ! ? ? ? ? !,0,,
11411,@ user 's happens let liberal get hold gun . would good place start gun control . ban liberal getting gun .,1,1,1
10133,@ user @ user look happy .maga,1,1,0
22128,@ user @ user @ user trump proposes racial profiling tactic 'to start thinking ' url,0,,
36518,@ user introducing sweet sweet baby king ! always sooo nice ! try sit sofa never attack ! url,0,,
59559,@ user @ user @ user gone tho inputed bottom top first second tweet ! good tmart ,0,,
99618,@ user @ user exactly . record basically saying president law . '' noted # gop fine . rudy issue . url,0,,
53309,# kamalaharris new dem emperor clothes taxpayer funded ‘ unprecedented ’ armed protection gun control sen. kamala harris url via @ user,0,,
29497,@ user yet fat .,1,1,0
84329,@ user @ user plenty evidence guilty hill accused since conf hearing n't guilty/innocence got bench . time diff . journalist n't call white supremacy/alt-right antifa pick @ user,0,,
50315,@ user @ user ’ understand capablities . despite proof economy . hypothesis lied liberal entire life believing told . liberal medium made bill clinton look good could trump .,0,,
97959,..oath must subpoenaed testify . lifetime appointment stake . please right time & amp ; allow orrin hatch already made mind lying allowed question . kind question could invite lawsuit .,0,,
66524,@ user @ user ’ best,0,,
97300,@ user @ user @ user joke ! gem alright ! ! racist phony ! right along racist phony . think follow second account . block . speak truth . could care le follower 's . like 's big party . care discriminate url,1,1,0
12919,@ user indeed .,0,,
40855,@ user @ user @ user 'm little concerned q follower slowly become sort right wing sjw antifa thingie ( also excuse horrible english 's native languase n't much schooling 'm sorry suck .  ),0,,
84100,@ user yep antifa literally hitler .,0,,
21270,@ user wow hot ,0,,
41818,@ user deserving woman happy ! !,0,,
12435,@ user @ user @ user @ user 've noticed lot conservative thoroughly disingenuous engaging twitter .,0,,
14808,@ user @ user @ user may forgotten moment eu citizen right afforded u eu citizen . ’ believe shit go head .,1,1,1
82579,@ user @ user 's modelling . plenty woman make shit ton money looking good,0,,
84523,watching horizon show scientist discovered dna mix human neanderthals.would thought trump getting elected would proof enough . # maga,0,,
61917,@ user @ user hope way watch tv . ted spanking liberal always enjoyable .,0,,
33322,@ user @ user looked work history listed board leading age service aust ( lasa ) come medicare local alliance ... ever hell,1,0,
79251,@ user look mirror !,0,,
42540,@ user ’ sure . ,0,,
13881,@ user @ user send @ user party # manifesto promised help family maybe remind duty . # hostileenvironment # priceonlove # skypefamilies @ user @ user @ user url,0,,
70402,"@ user @ user @ user @ user family separated border . fact , picture child cage liberal using show evil '' trump actually taken obama president ''",0,,
83462,@ user @ user antifa people,0,,
87206,@ user @ user people vote june . people rejected craven @ user worship stand - majority m. ’ contemptuously defying people & amp ; @ user ge manifesto & amp ; supporting soros undermining democracy instead,0,,
87300,@ user cause bitch playing  god aint give gift nothing,1,1,1
54125,@ user free bird return muslim homeland,0,,
75848,*mom speaks phone compose text brother* angry yell phone telling type like brother able tell even yelling 🤦‍,0,,
14948,@ user @ user melting snow flake,0,,
66798,@ user ’ victim ? remains seen . liberal turned kavanaughs hearing circus first minute started .,0,,
80497,@ user coming man threatened try kick turmps as n't take set ball 's,1,1,0
38561,@ user @ user 're shocked hear liberal want centralize power federal level ?,0,,
55203,@ user @ user best best ! ,0,,
31776,# whatilearnedtoday liberal ’ win without lying,0,,
60916,@ user fast furious holder lol,0,,
97277,@ user getting scared ugly man ?,1,1,0
63113,@ user one show progressive stand watch . dislike right left evenly know right start . 've never seen show check youtube . insightful  # maga,0,,
59721,@ user supreme court worthy,0,,
53839,@ user god hope ! url,0,,
15616,@ user @ user @ user yes,0,,
95200,@ user @ user @ user @ user @ user bitch.. url,1,0,
77769,& amp ; terroism & amp ; starvation & amp ; flint & amp ; poverty & amp ; climate change & amp ; global warming & amp ; sex trafficking & amp ; bullying & amp ; body shaming & amp ; police brutality & amp ; feminism & amp ; gun control & amp ; march & amp ; protest,1,1,0
65790,+++ ca n't prove causation either conservative cda surely love idea   ( ¬ @ user bashing pm @ user ca n't help think 're also egging former continue bashing boost fortune ( ) vainly . url,0,,
48548,@ user republican men picture men age law maker old sorry young republican like young conservative born year age,0,,
83751,@ user @ user @ user liberal ’ meme . sense humor knowledge meme-ing philosophy .,0,,
62541,@ user @ user stunning,0,,
62107,@ user yea bitch right getting smacked url,1,0,
18474,"@ user focus proud boy ? know 're real journalist , kelly , focus one violence ? # antifa want story ; focus journalist '' ( leftist activist ) constantly ignoring antifa 's attack people . ''",0,,
33096,@ user hahaha big thigh going make,1,1,0
22879,@ user @ user @ user @ user ’ called educating liberal .,0,,
81470,# maga # christineford # trump # tcot # ccot # americafirst # patriot @ user # brettkavanaugh say bill clinton whitewater : 's imperative make pattern revolting behavior clear -- piece painful piece . '' indeed . url,1,1,0
20322,# maga people low iq . gdp growth '' mean literally nothing . way translate higher income white familes individual . billion go company government . job create ? labour pay le living wage lmao ? url,1,1,0
26694,@ user @ user wonna get paid ... pick energy people ! ! ! ! scream shout like ’ # kavanaugh hearing ! url,0,,
60130,@ user bro go watch hold backwood interview like shit irritating lmao nigga mad suspicious,1,1,0
54559,bitch built like could beat as want url,1,1,0
34961,@ user @ user @ user @ user @ user @ user @ user @ user trash,0,,
14285,@ user @ user pathetic man !,1,1,0
25012,@ user @ user @ user new psychology thinker think religion aggressive thought deeply think hinduism ,0,,
19121,@ user shouldve played saint marie instead london dock . saint as ,0,,
61272,@ user thank goodness mn passive aggressive . love ! !,0,,
25360,@ user @ user empty prison also say broke law ... ..liberal logic .,0,,
56949,@ user @ user angel ! much love !,0,,
34893,@ user @ user ? asking arrest ? liberal butthurt month impeachable offense .,0,,
90958,@ user @ user tolerant left,0,,
42133,@ user @ user @ user @ user @ user @ user must talking hateful conservative .,1,1,1
18834,@ user @ user thats correct ! ! ! # maga,1,1,0
12741,@ user @ user @ user @ user show single case antifa actually murdered someone . far right murdered someone charlottesville 🤷 hypocrisy work way .,0,,
42528,@ user bobby fit thats exactly would say sure,0,,
29300,"@ user white people thank jesus republican & amp ; ex-crackheads '' - say america-hating liberal christian . many ex-dems thank jesus too- & amp ; many former emmy watcher . thank jesus daily country , @ user & amp ; ability turn ! @ user",0,,
14850,@ user skip realize saying become professional tweeter kind shitting sport caster ? many td reception skip year ?,0,,
38043,@ user @ user @ user leftist wrong liberal college . ppl student come unmask corrupt woman determined destroy good judge want liberal court . @ user @ user @ user,1,1,0
40340,@ user @ user @ user @ user feeling touch first time,0,,
76709,"@ user @ user @ user @ user great ! mark great one '' levin candace `` great '' owen together ! team unbeatable ! sent liberal frenzy ! whole block liberal voter head explode ! ... sadly , alyssa milano wet pant ! great team ! ''",1,1,1
22728,@ user # stratadata # ai # data # hairball : @ user tdavis touring application # cognitive # machinelearning technique speed # governance # data url,1,1,1
14037,@ user @ user @ user grossly misinterpreting . people across party condemn action . look bill davis brian mulroney see even conservative think horrible decision .,0,,
11640,@ user @ user @ user @ user n't proposing scare tactic . really meant said . trump easily pull good maga republican easily steal enough vote gop dem independent bring fresh breath rotten politics . think .,1,1,0
47009,@ user @ user @ user @ user liberal would support liberal spent million get liberal elected office . # libfail ! url,1,1,1
90912,@ user notice everyone avoids tweet  might think referring .  comrade . stalk everyone . 🤟🤟,0,,
97936,@ user ’ weirdly vicious bitter extrapolate ‘ everyone access decent healthcare ’ ‘ liberal think criminal free. ’ reveals pretty brutalist impenetrable mind .,1,1,1
12531,@ user fuck game watching ?,1,0,
61448,@ user grown up,0,,
23853,# health & amp ; # nature threat # uk # u @ user url,0,,
58454,@ user @ user n't kavanaugh need term ? guilty people : one need term . let clue : 're worried going make terrible impression believable . 're trying manage concern .,0,,
